time,open,high,low,close,volume
2018-09-06,6.5,6.54,6.24,6.25,3164832
2018-09-07,6.25,6.39,6.25,6.39,2485961
2018-09-10,6.39,6.39,5.89,6.27,3148899
2018-09-11,6.25,6.35,6.25,6.31,3898476
2018-09-12,6.35,6.37,6.29,6.29,2964205
2018-09-13,6.31,6.46,6.29,6.39,6398577
2018-09-14,6.39,6.48,6.39,6.45,4140257
2018-09-17,6.45,6.45,6.35,6.35,1908269
2018-09-18,6.31,6.41,6.29,6.41,2411600
2018-09-19,6.43,6.48,6.39,6.41,2798730
2018-09-20,6.41,6.48,6.39,6.46,3473652
2018-09-21,6.48,6.58,6.46,6.58,7293427
2018-09-24,6.6,6.64,6.56,6.56,2805624
2018-09-25,6.54,6.62,6.5,6.5,3999558
2018-09-26,6.5,6.58,6.46,6.48,2915363
2018-09-27,6.48,6.52,6.45,6.48,2942652
2018-09-28,6.5,6.6,6.48,6.52,3783478
2018-10-01,6.52,6.58,6.45,6.45,3222310
2018-10-02,6.45,6.46,6.31,6.37,5220366
2018-10-03,6.5,6.5,6.35,6.41,1954922
2018-10-04,6.41,6.54,6.41,6.5,3180913
2018-10-05,6.5,6.54,6.43,6.43,4183777
2018-10-08,6.41,6.48,6.39,6.45,2175364
2018-10-09,6.45,6.48,6.43,6.45,3010019
2018-10-10,6.45,6.48,6.41,6.43,2803041
2018-10-11,6.37,6.37,5.81,5.93,9392018
2018-10-12,5.85,6.12,5.74,6.12,4923922
2018-10-15,6.16,6.16,5.93,5.93,2403128
2018-10-16,5.93,6.02,5.93,5.99,1942897
2018-10-17,6.06,6.12,6.01,6.02,2292759
2018-10-18,6.02,6.02,5.91,5.93,1691619
2018-10-19,5.91,6.12,5.78,5.93,2186199
2018-10-22,5.93,5.99,5.89,5.89,1648420
2018-10-23,5.89,5.89,5.64,5.66,4059421
2018-10-24,5.66,5.8,5.6,5.6,3420367
2018-10-25,5.53,5.62,5.28,5.53,5147562
2018-10-26,5.57,5.72,5.41,5.41,2884427
2018-10-29,5.41,5.43,5.26,5.36,3999762
2018-10-30,5.36,5.57,5.32,5.45,3626018
2018-10-31,5.47,5.8,5.47,5.8,4795396
2018-11-01,5.8,5.85,5.6,5.6,2904172
2018-11-02,5.64,5.81,5.64,5.81,4366028
2018-11-05,5.81,5.83,5.66,5.78,3088300
2018-11-06,5.78,5.81,5.62,5.62,2657882
2018-11-07,5.64,5.68,5.55,5.6,2944403
2018-11-08,5.68,5.74,5.6,5.62,2607660
2018-11-09,5.62,5.66,5.49,5.49,2981239
2018-11-12,5.49,5.51,5.41,5.49,1775059
2018-11-13,5.47,5.47,5.36,5.41,2753099
2018-11-14,5.39,5.45,5.24,5.28,3291576
2018-11-15,5.18,5.37,5.18,5.26,2698586
2018-11-16,5.26,5.53,5.26,5.45,3519615
2018-11-19,5.41,5.55,5.41,5.55,2238672
2018-11-20,5.55,5.55,5.47,5.53,2168097
2018-11-21,5.47,5.55,5.41,5.53,2458849
2018-11-22,5.72,5.76,5.57,5.62,4403748
2018-11-23,5.64,5.64,5.55,5.55,2688110
2018-11-26,5.45,5.57,5.45,5.57,1633057
2018-11-27,5.57,5.6,5.47,5.51,2599848
2018-11-28,5.13,5.64,5.13,5.62,3171523
2018-11-29,5.64,5.74,5.64,5.64,3544622
2018-11-30,5.26,5.76,5.26,5.7,2971296
2018-12-03,5.72,5.99,5.72,5.99,4691062
2018-12-04,5.99,6.04,5.89,5.95,2802120
2018-12-05,5.91,5.97,5.81,5.93,3447060
2018-12-06,5.89,5.99,5.85,5.89,3345040
2018-12-07,5.91,5.99,5.85,5.85,2288776
2018-12-10,5.83,5.91,5.72,5.83,2669530
2018-12-11,5.26,5.93,5.26,5.85,2484639
2018-12-12,5.8,5.91,5.8,5.91,1157684
2018-12-13,5.93,5.95,5.87,5.87,1772531
2018-12-14,5.87,5.87,5.81,5.81,2099130
2018-12-17,5.8,5.81,5.66,5.66,2746380
2018-12-18,5.62,5.66,5.55,5.66,2694145
2018-12-19,6.22,6.22,5.58,5.66,1319853
2018-12-20,5.62,5.68,5.6,5.66,1170804
2018-12-21,5.64,5.64,5.57,5.62,1670803
2018-12-24,5.36,5.64,5.36,5.55,2237789
2018-12-25,5.51,5.51,5.37,5.51,4310235
2018-12-26,4.97,5.55,4.97,5.49,1518665
2018-12-27,5.62,5.68,5.55,5.62,2409678
2018-12-28,5.64,5.66,5.55,5.66,2193351
2019-01-02,5.66,5.66,5.53,5.58,1103106
2019-01-03,5.03,5.57,5.03,5.37,1956382
2019-01-04,5.36,5.45,5.28,5.41,2771983
2019-01-07,5.53,5.53,5.45,5.49,1305819
2019-01-08,6.01,6.01,5.45,5.45,846226
2019-01-09,5.47,5.57,5.45,5.55,2196358
2019-01-10,5.55,5.57,5.53,5.53,1378687
2019-01-11,5.55,5.57,5.51,5.53,1250077
2019-01-14,5.51,5.53,5.49,5.49,937155
2019-01-15,5.39,5.57,5.07,5.57,901146
2019-01-16,5.57,5.6,5.51,5.51,509354
2019-01-17,5.53,5.57,5.51,5.53,737519
2019-01-18,5.55,5.55,5.43,5.47,1412966
2019-01-21,5.49,5.74,5.49,5.64,2079830
2019-01-22,5.68,5.7,5.57,5.57,1845725
2019-01-23,5.55,5.58,5.53,5.57,1160094
2019-01-24,5.58,5.64,5.55,5.58,1743450
2019-01-25,5.7,5.7,5.57,5.58,836534
2019-01-28,5.58,5.6,5.36,5.53,997088
2019-01-29,5.51,5.55,5.47,5.55,1091518
2019-01-30,5.93,5.93,5.55,5.6,1565464
2019-01-31,5.66,5.7,5.6,5.62,1674668
2019-02-01,5.62,5.66,5.6,5.64,781100
2019-02-11,5.7,5.91,5.66,5.78,1713857
2019-02-12,5.78,5.85,5.78,5.83,2059630
2019-02-13,5.85,5.87,5.8,5.83,2093177
2019-02-14,5.83,5.83,5.76,5.76,1357835
2019-02-15,5.76,5.81,5.74,5.78,2176902
2019-02-18,5.78,5.83,5.78,5.81,1908779
2019-02-19,5.83,5.83,5.78,5.8,2754758
2019-02-20,5.8,5.83,5.78,5.81,1693486
2019-02-21,5.81,5.87,5.76,5.76,2970459
2019-02-22,5.78,5.89,5.74,5.83,3974330
2019-02-25,5.87,6.01,5.83,5.93,3874034
2019-02-26,5.89,5.97,5.85,5.89,2277127
2019-02-27,5.89,5.91,5.83,5.85,1544839
2019-02-28,5.89,5.89,5.68,5.68,3793504
2019-03-01,5.7,5.76,5.64,5.74,1478830
2019-03-04,5.74,5.83,5.72,5.81,3120806
2019-03-05,5.81,5.87,5.76,5.8,2465893
2019-03-06,5.78,5.81,5.74,5.8,1178516
2019-03-07,5.81,5.87,5.8,5.83,3301746
2019-03-08,5.81,5.85,5.78,5.8,1416810
2019-03-11,5.8,5.85,5.78,5.81,1032198
2019-03-12,5.83,5.91,5.8,5.91,2504257
2019-03-13,5.95,6.06,5.91,6.01,5473410
2019-03-14,6.01,6.12,5.99,6.02,2333220
2019-03-15,6.04,6.08,5.99,6.06,2649931
2019-03-18,6.08,6.16,6.06,6.1,3739699
2019-03-19,6.12,6.12,5.97,5.99,2828856
2019-03-20,6.01,6.01,5.87,5.93,3143264
2019-03-21,5.93,6.01,5.81,5.81,2939770
2019-03-22,5.81,5.87,5.81,5.83,1819172
2019-03-25,5.81,5.81,5.72,5.76,2275202
2019-03-26,5.78,5.81,5.76,5.8,1540206
2019-03-27,5.81,5.85,5.78,5.81,856984
2019-03-28,5.81,5.83,5.78,5.8,1366727
2019-03-29,5.8,5.83,5.78,5.8,1915257
2019-04-01,5.8,5.83,5.8,5.8,751744
2019-04-02,5.83,5.87,5.8,5.8,1184570
2019-04-03,5.83,5.83,5.72,5.76,1394796
2019-04-04,5.72,5.8,5.72,5.78,1091143
2019-04-05,5.78,5.81,5.76,5.78,767879
2019-04-08,5.78,5.91,5.78,5.89,2224599
2019-04-09,5.89,5.93,5.83,5.83,1801683
2019-04-10,5.8,5.83,5.78,5.78,868574
2019-04-11,5.85,5.85,5.76,5.8,905666
2019-04-12,5.78,5.8,5.74,5.78,1051329
2019-04-16,5.78,5.78,5.7,5.74,1328836
2019-04-17,5.76,5.8,5.72,5.72,688254
2019-04-18,5.6,5.74,5.6,5.68,1019057
2019-04-19,5.7,5.72,5.66,5.66,599302
2019-04-22,5.68,5.68,5.57,5.6,1362678
2019-04-23,5.62,5.72,5.57,5.66,1651748
2019-04-24,5.68,5.78,5.64,5.76,1062284
2019-04-25,5.76,5.81,5.72,5.74,745480
2019-04-26,5.74,5.78,5.72,5.76,1123078
2019-05-02,5.78,5.8,5.68,5.68,1134878
2019-05-03,5.7,5.74,5.7,5.74,1115126
2019-05-06,5.74,5.74,5.62,5.62,1381176
2019-05-07,5.74,5.74,5.58,5.64,869471
2019-05-08,5.6,5.66,5.57,5.64,1019991
2019-05-09,5.62,5.64,5.57,5.57,603773
2019-05-10,5.57,5.62,5.55,5.6,646916
2019-05-13,5.62,5.66,5.58,5.58,913337
2019-05-14,5.58,5.6,5.53,5.57,1601854
2019-05-15,5.57,5.68,5.57,5.64,1290890
2019-05-16,5.66,5.66,5.58,5.6,1467241
2019-05-17,5.6,5.62,5.58,5.58,852070
2019-05-20,5.6,5.64,5.57,5.6,675438
2019-05-21,5.62,5.68,5.6,5.62,1385291
2019-05-22,5.62,5.72,5.62,5.66,1274690
2019-05-23,5.72,5.74,5.6,5.64,630966
2019-05-24,5.2,5.64,5.2,5.58,891367
2019-05-27,5.57,5.58,5.55,5.55,911886
2019-05-28,5.55,5.58,5.53,5.53,941132
2019-05-29,5.53,5.58,5.49,5.58,1083726
2019-05-30,5.57,5.58,5.55,5.57,725399
2019-05-31,5.55,5.57,5.49,5.55,1025615
2019-06-03,5.49,5.55,5.47,5.49,1150302
2019-06-04,5.49,5.55,5.47,5.47,870018
2019-06-05,5.47,5.53,5.47,5.53,1056785
2019-06-06,5.53,5.53,5.43,5.45,912088
2019-06-07,5.45,5.51,5.45,5.49,282088
2019-06-10,5.49,5.53,5.47,5.47,463155
2019-06-11,5.47,5.49,5.47,5.47,563995
2019-06-12,5.47,5.49,5.45,5.45,557708
2019-06-13,5.45,5.49,5.45,5.47,846792
2019-06-14,5.47,5.55,5.47,5.49,1047441
2019-06-17,5.49,5.53,5.47,5.49,896432
2019-06-18,5.49,5.55,5.49,5.53,769216
2019-06-19,5.53,5.57,5.51,5.53,506197
2019-06-20,5.53,5.66,5.51,5.66,1436398
2019-06-21,5.66,5.74,5.62,5.64,826692
2019-06-24,5.64,5.68,5.62,5.64,1421227
2019-06-25,5.64,5.66,5.55,5.58,1331315
2019-06-26,5.55,5.58,5.55,5.55,389568
2019-06-27,5.55,5.57,5.47,5.47,873525
2019-06-28,5.47,5.53,5.45,5.53,670700
2019-07-01,5.62,5.62,5.55,5.58,640739
2019-07-02,5.58,5.58,5.53,5.53,388434
2019-07-03,5.55,5.57,5.49,5.51,643573
2019-07-04,5.53,5.6,5.53,5.58,925764
2019-07-05,5.6,5.62,5.57,5.58,799873
2019-07-08,5.58,5.62,5.53,5.55,428679
2019-07-09,5.55,5.7,5.55,5.7,2778824
2019-07-10,5.7,5.74,5.66,5.66,1121395
2019-07-11,5.66,5.81,5.66,5.78,2082872
2019-07-12,5.8,5.81,5.74,5.76,888185
2019-07-15,5.76,5.78,5.72,5.74,933272
2019-07-16,5.74,5.81,5.74,5.78,1196262
2019-07-17,5.78,5.91,5.78,5.87,2508774
2019-07-18,5.81,5.89,5.78,5.89,1601573
2019-07-19,6.12,6.12,5.89,5.97,2877999
