time,open,high,low,close,volume
2021-12-03,7.67,7.67,7.67,7.67,100
2021-12-06,8.2,8.2,8.2,8.2,200
2021-12-07,8.76,8.76,8.76,8.76,400
2021-12-08,9.37,9.37,9.37,9.37,5200
2021-12-09,10.02,10.02,10.02,10.02,2200
2021-12-10,10.71,10.71,10.71,10.71,33200
2021-12-13,11.45,11.45,11.45,11.45,5200
2021-12-14,12.24,12.24,12.24,12.24,156800
2021-12-15,13.09,13.09,12.79,13.09,914200
2021-12-16,14.0,14.0,13.94,14.0,888600
2021-12-17,14.96,14.98,13.75,13.75,2709700
2021-12-20,13.68,13.88,13.3,13.68,1388900
2021-12-21,13.75,13.94,13.27,13.41,1237100
2021-12-22,13.43,13.62,13.33,13.49,1718000
2021-12-23,13.43,13.91,13.43,13.52,970700
2021-12-24,13.91,14.07,13.52,13.67,1133100
2021-12-27,13.75,14.61,13.75,14.23,880900
2021-12-28,14.77,14.77,13.92,14.07,1241200
2021-12-29,14.13,14.23,13.59,13.59,690500
2021-12-30,13.65,13.88,13.52,13.56,1026400
2021-12-31,13.72,13.78,13.14,13.14,1539000
2022-01-04,13.17,14.05,12.79,14.05,17419300
2022-01-05,15.03,15.03,15.03,15.03,122800
2022-01-06,16.05,16.05,15.51,16.05,3017500
2022-01-07,16.14,17.17,15.92,17.17,1781200
2022-01-10,17.36,17.71,16.94,17.36,1540400
2022-01-11,17.39,17.52,16.94,17.04,1317000
2022-01-12,17.04,18.22,16.94,18.22,2089800
2022-01-13,18.54,19.47,18.54,19.47,3293400
2022-01-14,19.47,19.57,18.99,19.21,2041400
2022-01-17,19.21,19.37,18.19,19.02,2034300
2022-01-18,18.86,19.6,18.54,19.18,1882500
2022-01-19,19.5,19.82,19.18,19.5,2827500
2022-01-20,19.34,19.66,18.73,19.05,1812100
2022-01-21,18.7,19.02,18.54,18.64,1385500
2022-01-24,18.51,18.51,17.36,17.36,1098500
2022-01-25,16.62,17.65,16.14,17.58,3022400
2022-01-26,17.74,17.97,17.1,17.39,1282600
2022-01-27,17.26,17.49,16.72,17.23,925900
2022-01-28,17.07,17.2,16.3,17.2,888400
2022-02-07,17.3,17.58,17.3,17.58,909900
2022-02-08,17.71,18.03,17.26,17.74,1541700
2022-02-09,17.84,17.94,17.33,17.42,1148500
2022-02-10,17.42,17.74,17.26,17.71,1010000
2022-02-11,17.84,17.84,17.26,17.58,948400
2022-02-14,17.26,17.71,17.26,17.52,993200
2022-02-15,17.74,17.78,17.3,17.3,730700
2022-02-16,17.39,18.16,17.26,18.16,2275600
2022-02-17,18.22,19.05,18.22,18.83,1763900
2022-02-18,18.83,19.18,18.29,18.54,1412800
2022-02-21,18.54,18.61,18.03,18.22,1033000
2022-02-22,18.06,18.06,17.55,17.58,985400
2022-02-23,17.58,18.25,17.39,18.06,1353700
2022-02-24,17.97,18.06,17.58,18.0,1402100
2022-02-25,18.1,18.64,18.03,18.51,1958200
2022-02-28,18.57,18.57,18.16,18.22,950600
2022-03-01,18.13,18.25,17.9,18.13,839500
2022-03-02,18.35,18.54,18.22,18.38,1075300
2022-03-03,18.41,19.66,18.41,19.66,2938400
2022-03-04,19.82,20.24,19.63,20.05,1663500
2022-03-07,19.89,20.3,19.69,19.89,1373100
2022-03-08,19.66,19.66,18.93,18.93,1567000
2022-03-09,18.7,18.99,18.29,18.89,1673500
2022-03-10,19.15,19.92,18.19,18.96,2118800
2022-03-11,19.02,19.89,18.86,19.76,2110900
2022-03-14,19.98,20.24,19.73,19.98,1281400
2022-03-15,19.98,20.78,19.82,20.43,2000200
2022-03-16,20.46,20.62,19.92,19.98,1007600
2022-03-17,19.95,20.65,19.76,20.56,1976700
2022-03-18,20.59,21.29,20.33,20.36,1931000
2022-03-21,20.36,20.46,19.82,19.95,1021500
2022-03-22,19.95,19.95,19.6,19.76,849500
2022-03-23,19.79,19.92,19.53,19.85,745300
2022-03-24,19.89,20.3,19.73,20.01,1253900
2022-03-25,20.11,20.24,19.95,20.11,667400
2022-03-28,19.98,20.11,19.66,19.82,731000
2022-03-29,19.73,20.08,19.44,19.76,1300800
2022-03-30,19.5,19.73,19.18,19.18,635900
2022-03-31,19.28,19.98,19.25,19.82,1447300
2022-04-01,19.76,19.98,19.69,19.98,791000
2022-04-04,19.82,20.3,19.6,19.98,1086300
2022-04-05,20.08,20.14,19.69,19.95,764600
2022-04-06,19.82,20.11,19.69,19.69,777300
2022-04-07,19.66,19.95,19.28,19.34,1044000
2022-04-08,19.41,19.63,19.12,19.12,895800
2022-04-12,19.21,19.37,19.12,19.12,890800
2022-04-13,18.99,19.92,18.7,19.92,1982800
2022-04-14,19.95,19.98,19.53,19.6,958800
2022-04-15,19.5,19.73,19.34,19.47,815100
2022-04-18,19.5,19.63,19.18,19.47,775500
2022-04-19,19.5,19.53,18.64,19.31,1013600
2022-04-20,19.25,19.31,18.22,18.22,750500
2022-04-21,18.06,18.45,16.98,18.41,1967600
2022-04-22,18.41,18.77,17.78,18.22,630600
2022-04-25,18.22,18.29,16.98,16.98,379400
2022-04-26,16.94,17.01,15.86,17.01,926200
2022-04-27,17.04,18.19,17.04,18.19,2148800
2022-04-28,18.54,19.31,18.45,18.61,1096500
2022-04-29,18.7,18.73,18.1,18.57,639800
2022-05-04,18.51,18.64,18.16,18.51,757000
2022-05-05,18.8,18.83,17.94,17.94,615700
2022-05-06,18.06,18.25,17.52,17.65,915400
2022-05-09,17.65,18.24,17.56,17.56,608900
2022-05-10,17.35,18.76,16.47,18.76,2561800
2022-05-11,18.82,19.71,18.82,19.47,1599800
2022-05-12,19.47,19.47,18.82,19.06,1114000
2022-05-13,18.85,19.0,18.53,18.82,622700
2022-05-16,18.82,19.76,18.82,19.53,1760000
2022-05-17,19.65,20.53,19.12,20.53,1924900
2022-05-18,20.41,20.82,20.0,20.23,1428800
2022-05-19,20.0,20.59,19.59,20.18,1033200
2022-05-20,20.29,20.62,20.15,20.35,996300
2022-05-23,20.35,20.47,20.23,20.35,763300
2022-05-24,20.35,21.76,20.0,21.76,3355800
2022-05-25,22.06,22.53,22.03,22.53,1825800
2022-05-26,22.41,22.76,22.06,22.29,1342200
2022-05-27,22.29,22.62,21.97,22.15,1618000
2022-05-30,22.09,22.41,21.76,22.21,1607800
2022-05-31,22.26,22.29,20.68,20.76,2227400
2022-06-01,20.29,21.71,20.21,21.35,1871600
2022-06-02,21.41,21.53,20.23,20.35,1104400
2022-06-03,20.23,20.35,19.41,19.71,1286600
2022-06-06,19.59,19.62,18.65,18.79,1838500
2022-06-07,18.76,19.68,18.35,19.68,1159600
2022-06-08,19.82,20.15,19.82,20.0,863000
2022-06-09,20.12,20.12,19.12,19.41,755900
2022-06-10,19.35,19.35,18.74,18.88,1196300
2022-06-13,18.32,18.44,17.62,17.62,1606000
2022-06-14,17.41,18.21,17.06,17.65,1492300
2022-06-15,17.47,18.29,17.47,18.18,1613900
2022-06-16,18.65,18.65,18.06,18.18,1224200
2022-06-17,18.0,18.24,17.74,18.0,1340100
2022-06-20,17.97,18.65,17.06,17.68,1331600
2022-06-21,18.18,18.53,17.62,17.65,1287200
2022-06-22,17.56,18.26,17.35,18.0,1895300
2022-06-23,18.24,18.32,17.53,17.85,2268100
2022-06-24,17.94,18.32,17.68,18.0,1934600
2022-06-27,18.0,19.24,17.88,19.24,2937900
2022-06-28,19.47,20.23,19.47,19.88,2923400
2022-06-29,19.76,20.0,19.59,19.82,2256700
2022-06-30,20.0,20.23,19.47,19.53,1787300
2022-07-01,19.56,20.76,19.5,20.53,3885300
2022-07-04,20.79,21.23,20.21,20.21,2757000
2022-07-05,20.35,21.0,19.82,20.41,2339400
2022-07-06,20.53,20.97,20.12,20.59,3718100
2022-07-07,20.38,20.88,20.32,20.73,2610400
2022-07-08,21.06,21.21,20.18,20.85,2448500
2022-07-11,20.94,21.88,20.71,21.53,3150100
2022-07-12,21.56,22.71,21.47,22.47,3634500
2022-07-13,22.38,22.47,21.76,21.76,2565300
2022-07-14,21.59,21.88,20.91,21.82,2989000
2022-07-15,21.82,21.82,21.18,21.68,2003100
2022-07-18,21.76,22.59,21.76,22.38,4048800
2022-07-19,22.18,22.44,21.88,22.0,2126200
2022-07-20,22.18,22.41,21.53,21.68,3291100
2022-07-21,21.53,21.56,20.18,20.18,3521400
2022-07-22,19.82,20.38,19.24,20.21,3224300
2022-07-25,20.26,20.59,20.06,20.26,1843600
2022-07-26,20.0,20.29,19.76,19.76,1474300
2022-07-27,19.62,19.85,19.06,19.85,2409700
2022-07-28,19.94,20.35,19.82,20.06,3607600
2022-07-29,19.71,20.12,19.29,19.65,2586700
2022-08-01,19.41,19.41,18.29,19.03,3865900
2022-08-02,18.91,19.29,18.29,18.91,3273300
2022-08-03,19.0,19.59,18.76,19.59,3251500
2022-08-04,19.59,19.62,19.06,19.21,2340400
2022-08-05,19.21,19.47,19.0,19.29,1873900
2022-08-08,19.29,19.38,18.53,18.53,2736100
2022-08-09,18.12,18.88,17.94,18.88,5039300
2022-08-10,18.85,19.24,18.21,18.85,3285800
2022-08-11,18.85,19.12,18.47,18.59,3272900
2022-08-12,18.59,18.59,17.88,18.24,5335800
2022-08-15,18.41,18.79,18.21,18.71,3251400
2022-08-16,18.85,18.88,17.97,18.24,4839800
2022-08-17,18.24,18.44,17.38,17.53,5249200
2022-08-18,17.53,17.71,16.91,16.97,4337500
2022-08-19,16.71,17.71,16.5,17.71,5770700
2022-08-22,17.71,17.71,17.29,17.53,2731600
2022-08-23,17.35,17.62,17.12,17.62,2281000
2022-08-24,17.68,17.94,17.41,17.41,3863000
2022-08-25,17.47,17.82,17.12,17.21,2680000
2022-08-26,17.24,17.76,16.94,17.76,3273300
2022-08-29,17.59,17.79,17.12,17.71,3801500
2022-08-30,17.76,18.15,17.38,17.76,3941900
2022-08-31,17.65,18.06,17.41,17.41,4273200
2022-09-05,17.47,17.79,16.65,16.65,5241000
2022-09-06,16.32,17.24,16.32,16.71,4286500
2022-09-07,16.79,16.94,16.47,16.68,2485300
2022-09-08,16.76,17.0,15.88,16.38,5434000
2022-09-09,16.79,16.79,15.65,15.85,3547900
2022-09-12,15.62,16.21,15.62,15.91,1916469
2022-09-13,15.76,16.24,15.68,16.24,3013595
2022-09-14,16.12,16.47,15.88,16.44,2783009
