time,open,high,low,close,volume
2018-09-06,5.79,5.82,5.74,5.82,46570
2018-09-07,5.82,5.84,5.74,5.79,40910
2018-09-10,5.79,5.87,5.79,5.87,44250
2018-09-11,5.82,5.99,5.82,5.89,73060
2018-09-12,5.99,5.99,5.87,5.94,33140
2018-09-13,5.94,5.97,5.87,5.89,43210
2018-09-14,5.87,5.94,5.87,5.94,44090
2018-09-17,5.94,5.97,5.89,5.89,38970
2018-09-18,5.89,5.92,5.84,5.92,44400
2018-09-19,5.94,5.99,5.92,5.92,62600
2018-09-20,5.92,5.94,5.87,5.94,46880
2018-09-21,5.94,6.2,5.89,6.14,127620
2018-09-24,6.2,6.45,6.2,6.35,84800
2018-09-25,6.35,6.37,6.27,6.35,36250
2018-09-26,6.2,6.35,6.2,6.25,56010
2018-09-27,6.3,6.42,6.09,6.4,118120
2018-09-28,6.5,6.82,6.5,6.82,460730
2018-10-01,7.15,7.15,6.9,6.95,263610
2018-10-02,6.95,6.95,6.65,6.82,96490
2018-10-03,6.85,6.9,6.6,6.72,78260
2018-10-04,6.72,6.9,6.7,6.85,133700
2018-10-05,6.95,6.95,6.55,6.8,126280
2018-10-08,6.77,6.93,6.47,6.7,152830
2018-10-09,6.7,6.75,6.52,6.55,69240
2018-10-10,6.55,6.8,6.4,6.55,47380
2018-10-11,6.14,6.3,6.09,6.09,95880
2018-10-12,5.84,6.2,5.84,6.09,57150
2018-10-15,6.04,6.07,5.89,6.07,41440
2018-10-16,6.12,6.22,6.04,6.2,56280
2018-10-17,6.55,6.55,6.32,6.32,63100
2018-10-18,6.35,6.37,6.25,6.25,29780
2018-10-19,6.2,6.3,6.04,6.3,37070
2018-10-22,6.35,6.4,5.99,5.99,78880
2018-10-23,5.79,5.92,5.74,5.89,68520
2018-10-24,5.89,5.89,5.72,5.72,22210
2018-10-25,5.39,5.69,5.34,5.69,59290
2018-10-26,5.54,5.99,5.44,5.54,42040
2018-10-29,5.59,5.59,5.39,5.39,21140
