time,open,high,low,close,volume
2018-09-06,9.5,9.56,9.33,9.45,1151240
2018-09-07,9.39,9.56,9.28,9.5,1137921
2018-09-10,9.5,9.67,9.39,9.45,1138800
2018-09-11,9.5,10.07,9.45,9.95,3901853
2018-09-12,9.95,10.29,9.95,10.07,4664024
2018-09-13,10.12,10.41,10.12,10.24,2992641
2018-09-14,10.18,10.24,10.07,10.18,2439092
2018-09-17,10.18,10.29,10.01,10.07,2899341
2018-09-18,10.07,10.12,9.84,10.12,2148183
2018-09-19,10.18,10.92,10.12,10.69,8285694
2018-09-20,11.09,11.26,10.63,11.09,5097730
2018-09-21,11.03,11.2,10.63,10.92,4545084
2018-09-24,11.03,11.31,10.86,11.26,3437250
2018-09-25,11.26,11.76,11.26,11.71,3912611
2018-09-26,11.71,12.1,11.42,11.54,5501055
2018-09-27,11.65,11.82,11.37,11.82,4418568
2018-09-28,11.88,11.88,11.2,11.31,6106055
2018-10-01,11.48,11.76,11.31,11.42,5482504
2018-10-02,11.59,11.76,11.37,11.48,5267350
2018-10-03,11.48,11.54,11.03,11.42,4544530
2018-10-04,11.42,11.65,11.31,11.42,4387431
2018-10-05,11.42,11.42,10.97,11.09,3729366
2018-10-08,11.09,11.09,10.75,10.8,3494942
2018-10-09,10.8,10.97,10.58,10.63,4541409
2018-10-10,10.63,10.69,10.35,10.46,3458770
2018-10-11,10.41,10.41,9.11,9.45,8183266
2018-10-12,9.28,9.78,9.05,9.73,2660010
2018-10-15,9.67,9.73,9.33,9.45,1320970
2018-10-16,9.39,9.62,9.39,9.56,1269200
2018-10-17,9.62,9.95,9.62,9.73,2295195
2018-10-18,9.73,9.73,9.5,9.5,1250590
2018-10-19,9.45,9.78,9.22,9.56,1357151
2018-10-22,9.5,9.78,9.5,9.56,1113580
2018-10-23,9.62,9.62,9.11,9.33,2149170
2018-10-24,9.33,9.39,8.82,8.99,2477002
2018-10-25,8.94,9.11,8.48,8.99,2534474
2018-10-26,8.82,9.28,8.82,8.88,1463380
2018-10-29,8.94,9.05,8.77,8.82,1223802
2018-10-30,8.77,8.99,8.77,8.88,743209
2018-10-31,8.94,9.33,8.94,9.33,2635545
2018-11-01,9.33,9.33,8.99,8.99,1063610
2018-11-02,9.11,9.28,9.05,9.28,1507400
2018-11-05,9.22,9.22,8.94,9.11,980133
2018-11-06,9.16,9.45,9.16,9.16,2873338
2018-11-07,9.16,9.22,8.99,9.11,953910
2018-11-08,9.22,9.33,9.11,9.16,886250
2018-11-09,9.11,9.11,8.77,8.82,1760740
2018-11-12,8.77,9.11,8.65,9.05,1513688
2018-11-13,8.82,8.94,8.71,8.71,1364850
2018-11-14,8.65,8.71,8.37,8.37,2592291
2018-11-15,8.48,8.65,8.43,8.43,856120
2018-11-16,8.48,8.71,8.48,8.6,2083251
2018-11-19,8.48,8.77,7.35,8.71,1225507
2018-11-20,8.65,8.65,8.48,8.54,856630
2018-11-21,8.43,8.48,8.31,8.48,1269820
2018-11-22,8.54,8.6,8.14,8.26,3026508
2018-11-23,8.26,8.31,8.2,8.26,829211
2018-11-26,8.2,8.6,8.14,8.54,1088643
2018-11-27,8.48,8.71,8.37,8.48,1702220
2018-11-28,8.48,8.54,8.43,8.54,418400
2018-11-29,8.43,8.6,8.31,8.31,936600
2018-11-30,8.43,8.43,8.26,8.31,934200
2018-12-03,8.43,8.77,8.43,8.6,2873919
2018-12-04,8.71,8.82,8.65,8.71,2011360
2018-12-05,8.65,8.71,8.54,8.71,1842000
2018-12-06,8.65,8.99,8.6,8.77,3497078
2018-12-07,8.82,8.94,8.71,8.77,1182541
2018-12-10,8.82,8.82,8.54,8.65,1726479
2018-12-11,8.6,8.65,8.43,8.48,1757610
2018-12-12,8.48,8.88,8.48,8.82,1701519
2018-12-13,8.77,8.88,8.65,8.71,1291380
2018-12-14,8.71,9.05,8.54,8.65,1031890
2018-12-17,8.54,8.6,8.31,8.43,2463321
2018-12-18,8.31,8.31,8.14,8.2,2140710
2018-12-19,8.26,8.26,8.03,8.09,1442600
2018-12-20,8.03,8.31,7.97,8.2,1491185
2018-12-21,8.2,8.2,8.03,8.14,1146570
2018-12-24,8.14,8.14,7.81,7.86,1491200
2018-12-25,7.75,7.75,7.35,7.58,3285950
2018-12-26,7.64,7.69,7.41,7.47,1742000
2018-12-27,7.58,8.03,7.58,7.86,2097731
2018-12-28,7.81,7.97,7.64,7.69,1546117
2019-01-02,7.81,7.81,7.58,7.64,688310
2019-01-03,7.64,7.69,7.35,7.47,1303200
2019-01-04,7.47,7.52,7.24,7.47,1309060
2019-01-07,7.58,7.69,7.41,7.47,1297910
2019-01-08,7.58,7.58,7.47,7.47,614836
2019-01-09,7.58,7.69,7.52,7.64,1388802
2019-01-10,7.64,7.69,7.52,7.58,1382350
2019-01-11,7.58,7.86,7.52,7.75,2346200
2019-01-14,7.81,7.81,7.52,7.58,837109
2019-01-15,7.64,7.69,7.58,7.64,1133340
2019-01-16,7.69,7.75,7.58,7.69,1569100
2019-01-17,7.64,7.69,7.58,7.64,893657
2019-01-18,7.64,7.69,7.47,7.58,1245223
2019-01-21,7.24,7.3,6.67,6.9,5107272
2019-01-22,6.9,7.01,6.84,6.84,1300297
2019-01-23,6.9,6.9,6.73,6.79,1467160
2019-01-24,6.84,7.01,6.67,6.96,1410920
2019-01-25,6.96,7.01,6.9,6.96,702829
2019-01-28,7.07,7.24,6.9,7.18,1860290
2019-01-29,7.13,7.13,7.01,7.13,833930
2019-01-30,7.07,7.41,7.07,7.35,1518249
2019-01-31,7.35,7.52,7.35,7.41,1194630
2019-02-01,7.47,7.47,7.3,7.35,835950
2019-02-11,7.35,7.52,7.35,7.52,837710
2019-02-12,7.52,7.69,7.47,7.69,1652785
2019-02-13,7.69,8.09,7.69,7.97,2775513
2019-02-14,7.86,8.09,7.86,8.03,1587930
2019-02-15,8.03,8.09,7.92,8.09,1566100
2019-02-18,8.09,8.31,8.03,8.31,2749513
2019-02-19,8.37,8.37,8.03,8.09,1903003
2019-02-20,8.09,8.14,7.97,8.03,1220876
2019-02-21,8.09,8.14,7.97,8.03,1359556
2019-02-22,8.03,8.03,7.86,7.97,1749016
2019-02-25,7.92,8.09,7.92,8.03,1622834
2019-02-26,8.03,8.03,7.81,7.86,1433335
2019-02-27,7.86,7.97,7.86,7.86,1088480
2019-02-28,7.92,7.97,7.69,7.75,1095695
2019-03-01,7.75,7.81,7.69,7.75,1591859
2019-03-04,7.75,8.03,7.75,7.97,2224778
2019-03-05,7.97,8.26,7.92,8.2,4438870
2019-03-06,8.26,8.26,7.97,8.2,1197088
2019-03-07,8.14,8.37,8.14,8.14,2994481
2019-03-08,8.2,8.2,7.97,8.03,1295348
2019-03-11,8.03,8.03,7.86,7.97,1228934
2019-03-12,8.03,8.09,7.86,7.92,1959470
2019-03-13,7.92,7.97,7.81,7.86,2996040
2019-03-14,7.86,7.97,7.75,7.92,1658266
2019-03-15,7.92,8.03,7.81,7.97,1745856
2019-03-18,7.92,7.97,7.81,7.81,2044845
2019-03-19,7.86,7.92,7.69,7.75,2544226
2019-03-20,7.75,7.75,7.47,7.69,2148752
2019-03-21,7.64,7.86,7.47,7.52,2254420
2019-03-22,7.58,7.58,7.35,7.47,1312925
2019-03-25,7.35,7.35,7.18,7.3,2485053
2019-03-26,7.3,7.41,7.18,7.3,1330327
2019-03-27,7.35,7.58,7.3,7.47,1935780
2019-03-28,7.41,7.47,6.5,7.24,1686846
2019-03-29,7.24,7.3,7.07,7.18,2299686
2019-04-01,7.18,7.3,7.01,7.18,2224700
2019-04-02,7.18,7.35,7.13,7.18,1842080
2019-04-03,7.24,7.41,7.18,7.41,1725600
2019-04-04,7.35,7.58,7.35,7.47,2331987
2019-04-05,7.41,7.47,7.3,7.35,1144330
2019-04-08,7.41,7.58,7.35,7.52,1530849
2019-04-09,7.52,7.64,7.47,7.52,2037899
2019-04-10,7.47,7.47,7.3,7.35,1351690
2019-04-11,7.35,7.41,7.35,7.35,797400
2019-04-12,7.35,7.41,7.24,7.41,1720750
2019-04-16,7.3,7.41,7.18,7.35,1272548
2019-04-17,7.24,7.41,7.24,7.3,1404453
2019-04-18,7.3,7.35,7.18,7.18,1321637
2019-04-19,7.18,7.35,7.18,7.24,931130
2019-04-22,7.24,7.41,7.24,7.35,1226478
2019-04-23,7.35,7.41,7.3,7.41,1359333
2019-04-24,7.41,7.92,7.41,7.86,5856991
2019-04-25,7.92,8.09,7.75,7.97,3290307
2019-04-26,7.92,8.03,7.86,7.97,2124762
2019-05-02,7.92,7.97,7.81,7.92,2089832
2019-05-03,7.86,7.86,7.69,7.75,2081146
2019-05-06,7.69,7.69,7.41,7.52,2338979
2019-05-07,7.52,7.64,7.47,7.58,1112097
2019-05-08,7.52,7.64,7.41,7.64,2026450
2019-05-09,7.58,7.64,7.41,7.41,1085670
2019-05-10,7.35,7.75,7.35,7.58,2647970
2019-05-13,7.64,7.92,7.58,7.81,2266031
2019-05-14,7.75,7.97,7.69,7.92,3365260
2019-05-15,7.92,8.03,7.86,7.92,2629995
2019-05-16,7.92,7.97,7.86,7.92,1970210
2019-05-17,7.92,8.2,7.92,8.03,4341429
2019-05-20,8.09,8.2,8.09,8.09,1897315
2019-05-21,8.09,8.14,7.92,7.97,1579822
2019-05-22,7.92,7.97,7.81,7.86,1974755
2019-05-23,7.86,7.92,7.69,7.92,2211670
2019-05-24,7.81,7.81,7.64,7.69,2431615
2019-05-27,7.69,7.75,7.64,7.69,1014950
2019-05-28,7.69,7.86,7.69,7.86,1995075
2019-05-29,7.81,7.86,7.75,7.75,984980
2019-05-30,7.75,7.86,7.75,7.81,780441
2019-05-31,7.81,7.81,7.58,7.64,1623180
2019-06-03,7.58,7.58,7.24,7.3,2279681
