time,open,high,low,close,volume
2018-09-06,11.76,11.83,11.58,11.67,3629360
2018-09-07,11.63,11.97,11.61,11.94,4308610
2018-09-10,11.92,11.99,11.76,11.81,2733190
2018-09-11,11.76,12.21,11.76,12.15,6257740
2018-09-12,12.24,12.26,11.94,11.94,4889210
2018-09-13,12.08,12.21,11.97,12.01,4491540
2018-09-14,12.12,12.33,12.08,12.15,6677120
2018-09-17,12.15,12.15,11.99,11.99,2912850
2018-09-18,11.94,12.12,11.83,12.12,3675180
2018-09-19,12.26,12.3,12.08,12.08,5157360
2018-09-20,12.12,12.37,12.03,12.37,5641050
2018-09-21,12.44,12.75,12.39,12.66,11683350
2018-09-24,12.66,12.75,12.53,12.62,4332530
2018-09-25,12.53,12.71,12.46,12.53,5786020
2018-09-26,12.51,12.71,12.46,12.46,5824170
2018-09-27,12.53,12.6,12.42,12.44,4772170
2018-09-28,12.48,12.66,12.42,12.42,6073370
2018-10-01,12.44,12.53,12.08,12.19,6461870
2018-10-02,12.19,12.37,12.01,12.21,7746060
2018-10-03,12.3,12.48,12.28,12.39,4127150
2018-10-04,12.55,12.57,12.42,12.48,3473930
2018-10-05,12.48,12.53,12.21,12.21,5198350
2018-10-08,12.12,12.28,12.08,12.1,4657990
2018-10-09,12.1,12.17,11.99,12.03,3336170
2018-10-10,12.08,12.1,11.88,11.92,3546520
2018-10-11,11.36,11.58,11.09,11.09,12082520
2018-10-12,10.91,11.45,10.86,11.45,5389190
2018-10-15,11.45,11.49,11.15,11.15,2884750
2018-10-16,11.18,11.33,11.13,11.33,2005520
2018-10-17,11.54,11.58,11.38,11.4,3206460
2018-10-18,11.27,11.49,11.2,11.2,3109490
2018-10-19,11.04,11.22,10.91,11.13,3112080
2018-10-22,11.22,11.27,11.02,11.02,2097350
2018-10-23,11.0,11.0,10.48,10.66,5920090
2018-10-24,10.66,10.79,10.46,10.46,3019740
2018-10-25,10.1,10.43,9.96,10.37,4766130
2018-10-26,10.55,10.55,10.14,10.14,1995490
2018-10-29,10.05,10.25,9.96,9.96,3684150
2018-10-30,9.96,10.16,9.92,10.01,2528950
2018-10-31,10.19,10.55,10.1,10.55,5805250
2018-11-01,10.59,10.61,10.28,10.3,2567210
2018-11-02,10.37,10.73,10.34,10.59,4558920
2018-11-05,10.46,10.61,10.43,10.59,2120240
2018-11-06,10.68,10.73,10.48,10.48,2694510
2018-11-07,10.48,10.59,10.3,10.48,2753710
2018-11-08,10.68,10.7,10.46,10.46,2690030
2018-11-09,10.32,10.48,10.16,10.19,3077020
2018-11-12,10.14,10.21,9.96,10.12,2365260
2018-11-13,9.92,10.1,9.92,9.92,3311180
2018-11-14,9.92,10.07,9.44,9.55,5671640
2018-11-15,9.55,9.78,9.46,9.58,3721830
2018-11-16,9.73,9.98,9.64,9.89,3063290
2018-11-19,9.98,10.39,9.89,10.39,5513170
2018-11-20,10.23,10.57,10.21,10.46,4890140
2018-11-21,10.28,10.59,10.25,10.5,3479650
2018-11-22,10.64,10.64,10.34,10.34,3322210
2018-11-23,10.3,10.41,10.12,10.12,3174400
2018-11-26,10.1,10.21,10.1,10.14,1762420
2018-11-27,10.23,10.3,9.98,10.05,2219900
2018-11-28,10.05,10.25,10.05,10.25,2457300
2018-11-29,10.34,10.46,10.23,10.3,4180120
2018-11-30,10.25,10.48,10.23,10.37,3545150
2018-12-03,10.64,10.91,10.59,10.88,6826140
