time,open,high,low,close,volume
2018-09-06,3.61,3.62,3.53,3.54,68350
2018-09-07,3.6,3.72,3.6,3.67,80760
2018-09-10,3.7,3.7,3.6,3.6,44280
2018-09-11,3.6,3.7,3.6,3.69,40770
2018-09-12,3.74,3.74,3.67,3.69,106930
2018-09-13,3.77,3.77,3.69,3.69,96560
2018-09-14,3.67,3.69,3.65,3.69,64880
2018-09-17,3.67,3.67,3.63,3.67,35310
2018-09-18,3.65,3.77,3.55,3.77,150440
2018-09-19,3.84,3.84,3.72,3.72,60600
2018-09-20,3.72,3.75,3.7,3.74,95470
2018-09-21,3.77,3.98,3.75,3.98,697270
2018-09-24,4.1,4.19,4.09,4.09,150110
2018-09-25,4.09,4.1,3.98,4.07,142560
2018-09-26,4.02,4.19,4.0,4.07,414270
2018-09-27,4.07,4.1,4.07,4.1,184000
2018-09-28,4.16,4.38,4.12,4.38,698170
2018-10-01,4.44,4.44,4.3,4.3,305650
2018-10-02,4.23,4.49,4.23,4.33,237930
2018-10-03,4.4,4.45,4.33,4.44,225060
2018-10-04,4.51,4.51,4.37,4.45,195800
2018-10-05,4.45,4.51,4.35,4.4,288110
2018-10-08,4.33,4.45,4.33,4.45,132110
2018-10-09,4.47,4.47,4.38,4.38,135850
2018-10-10,4.4,4.45,4.33,4.37,144510
2018-10-11,4.3,4.3,4.07,4.14,451030
2018-10-12,4.07,4.35,4.05,4.26,109540
2018-10-15,4.28,4.4,4.26,4.28,114790
2018-10-16,4.28,4.37,4.28,4.33,52830
2018-10-17,4.33,4.4,4.33,4.37,55820
2018-10-18,4.33,4.35,4.3,4.35,68110
2018-10-19,4.33,4.49,4.21,4.49,121030
2018-10-22,4.51,4.61,4.4,4.4,153110
2018-10-23,4.4,4.4,4.23,4.33,63590
2018-10-24,4.33,4.38,4.19,4.3,36500
2018-10-25,4.12,4.26,4.12,4.26,81910
2018-10-26,4.14,4.3,4.14,4.28,51660
2018-10-29,4.28,4.28,4.03,4.19,81840
2018-10-30,4.14,4.26,4.12,4.17,40820
2018-10-31,4.12,4.23,4.09,4.19,228220
2018-11-01,4.23,4.23,4.12,4.16,56950
2018-11-02,4.14,4.19,4.1,4.16,64630
2018-11-05,4.16,4.16,4.03,4.03,59890
2018-11-06,4.03,4.09,4.03,4.03,103140
2018-11-07,4.03,4.14,4.02,4.05,50290
