time,open,high,low,close,volume
2018-09-06,5.96,5.96,5.66,5.94,105350
2018-09-07,5.94,5.96,5.8,5.8,140606
2018-09-10,5.88,5.88,5.74,5.78,38630
2018-09-11,5.8,5.88,5.72,5.72,74150
2018-09-12,5.86,5.86,5.68,5.72,15259
2018-09-13,5.72,5.76,5.68,5.76,30800
2018-09-14,5.76,5.86,5.72,5.78,100748
2018-09-17,5.76,5.96,5.76,5.86,178922
2018-09-18,5.8,5.94,5.8,5.8,92800
2018-09-19,5.9,5.9,5.78,5.78,96140
2018-09-20,5.86,6.27,5.8,6.15,354614
2018-09-21,6.17,6.38,6.07,6.17,98639
2018-09-24,6.21,6.21,6.09,6.11,108880
2018-09-25,6.11,6.17,6.03,6.11,194575
2018-09-26,6.17,6.17,5.86,5.92,237346
2018-09-27,5.92,5.96,5.86,5.96,53646
2018-09-28,6.03,6.13,6.03,6.03,111607
2018-10-01,6.07,6.17,5.96,5.96,109216
2018-10-02,6.09,6.42,6.07,6.29,213559
2018-10-03,6.29,6.4,6.21,6.23,161211
2018-10-04,6.25,6.31,6.21,6.25,99430
2018-10-05,6.27,6.29,6.21,6.21,115716
2018-10-08,6.13,6.21,6.03,6.07,53090
2018-10-09,6.07,6.07,6.03,6.07,28746
2018-10-10,6.07,6.07,5.99,6.07,70720
2018-10-11,5.96,5.96,5.59,5.59,260371
2018-10-12,5.55,5.94,5.51,5.94,85620
2018-10-15,5.94,5.94,5.74,5.9,27270
2018-10-16,5.86,5.96,5.86,5.88,35220
2018-10-17,5.96,5.99,5.84,5.88,50952
2018-10-18,5.92,5.96,5.8,5.9,93770
2018-10-19,5.78,5.78,5.72,5.76,31982
2018-10-22,5.78,5.78,5.76,5.76,25200
2018-10-23,5.76,5.76,5.55,5.59,61957
2018-10-24,5.62,5.78,5.62,5.62,27310
2018-10-25,5.55,5.62,5.47,5.55,130100
2018-10-26,5.55,5.66,5.49,5.53,39449
2018-10-29,5.55,5.55,5.49,5.53,28900
2018-10-30,5.53,5.76,5.53,5.59,35670
2018-10-31,5.74,5.76,5.7,5.76,36264
2018-11-01,5.76,5.76,5.64,5.64,28700
2018-11-02,5.74,5.94,5.72,5.86,71240
