time,open,high,low,close,volume
2018-09-06,5.25,5.25,5.16,5.16,212610
2018-09-07,5.16,5.28,5.16,5.28,272120
2018-09-10,5.24,5.28,5.21,5.28,63430
2018-09-11,5.19,5.28,5.19,5.25,151130
2018-09-12,5.25,5.31,5.22,5.27,412060
2018-09-13,5.25,5.3,5.24,5.24,57430
2018-09-14,5.3,5.3,5.24,5.24,145410
2018-09-17,5.24,5.3,5.19,5.28,235800
2018-09-18,5.28,5.3,5.25,5.25,258280
2018-09-19,5.28,5.34,5.27,5.3,363460
2018-09-20,5.33,5.46,5.31,5.46,738570
2018-09-21,5.48,5.48,5.4,5.42,690960
2018-09-24,5.46,5.54,5.42,5.52,729170
2018-09-25,5.54,5.61,5.49,5.58,682230
2018-09-26,5.58,5.96,5.55,5.89,2083370
2018-09-27,5.82,6.08,5.79,5.9,708530
2018-09-28,5.79,5.92,5.79,5.85,580530
2018-10-01,5.89,6.08,5.87,5.98,1669050
2018-10-02,5.93,6.02,5.85,5.89,654850
2018-10-03,5.89,5.89,5.76,5.79,681970
2018-10-04,5.89,5.89,5.76,5.82,566490
2018-10-05,5.75,5.81,5.72,5.72,823130
2018-10-08,5.67,5.67,5.52,5.61,1655660
2018-10-09,5.55,5.67,5.55,5.58,188780
2018-10-10,5.58,5.61,5.52,5.55,427860
2018-10-11,5.43,5.43,5.28,5.33,1366020
2018-10-12,5.3,5.52,5.28,5.43,774880
2018-10-15,5.45,5.45,5.24,5.28,364820
2018-10-16,5.4,5.52,5.31,5.43,261500
2018-10-17,5.54,5.54,5.43,5.46,325250
2018-10-18,5.46,5.49,5.43,5.43,266960
2018-10-19,5.43,5.58,5.37,5.43,701200
2018-10-22,5.43,5.49,5.42,5.43,302600
2018-10-23,5.46,5.46,5.34,5.4,385500
2018-10-24,5.4,5.43,5.27,5.33,481790
2018-10-25,5.19,5.34,5.16,5.28,334680
2018-10-26,5.37,5.46,5.31,5.43,388550
2018-10-29,5.43,5.46,5.39,5.43,1079660
2018-10-30,5.39,5.55,5.36,5.49,560860
2018-10-31,5.52,5.69,5.52,5.67,543980
2018-11-01,5.67,5.67,5.58,5.58,224520
2018-11-02,5.58,5.72,5.57,5.67,318810
2018-11-05,5.61,5.67,5.52,5.67,715770
2018-11-06,5.61,5.72,5.61,5.64,238070
2018-11-07,5.58,5.67,5.58,5.67,242960
2018-11-08,5.7,5.72,5.61,5.66,204590
2018-11-09,5.58,5.66,5.57,5.57,310090
2018-11-12,5.55,5.58,5.52,5.57,264200
2018-11-13,5.55,5.64,5.51,5.64,364210
2018-11-14,5.72,5.82,5.67,5.67,688160
2018-11-15,5.73,5.79,5.69,5.76,553790
