time,open,high,low,close,volume
2018-09-06,12.62,12.66,12.5,12.55,1240740
2018-09-07,12.55,12.97,12.52,12.9,2697330
2018-09-10,12.9,13.08,12.83,12.94,3202100
2018-09-11,12.8,13.27,12.8,13.27,4021220
2018-09-12,13.32,13.36,13.04,13.04,3675870
2018-09-13,13.13,13.22,13.04,13.11,2841510
2018-09-14,13.08,13.2,13.04,13.04,4159350
2018-09-17,13.01,13.18,12.94,13.13,4525040
2018-09-18,13.04,13.43,12.94,13.41,3744130
2018-09-19,13.46,13.71,13.46,13.57,4603220
2018-09-20,13.6,13.64,13.41,13.57,2125420
2018-09-21,13.6,13.92,13.5,13.88,3897680
2018-09-24,13.97,14.01,13.78,13.81,1369280
2018-09-25,13.78,14.06,13.71,13.97,2886150
2018-09-26,13.92,14.11,13.78,13.83,2822750
2018-09-27,13.83,14.2,13.78,14.2,3823810
2018-09-28,14.15,14.25,13.92,14.01,3101460
2018-10-01,13.97,14.04,13.46,13.5,5416430
2018-10-02,13.5,13.5,12.94,13.08,8552700
2018-10-03,13.08,13.29,12.99,13.08,2918190
2018-10-04,13.22,13.69,13.13,13.69,2000290
2018-10-05,13.5,13.67,13.32,13.36,2223380
2018-10-08,13.22,13.41,13.15,13.36,1877770
2018-10-09,13.36,13.5,13.36,13.43,1728840
2018-10-10,13.48,13.6,13.34,13.5,1755450
2018-10-11,12.64,13.04,12.57,12.57,6293560
2018-10-12,12.57,12.85,12.32,12.8,2308050
2018-10-15,12.8,12.99,12.57,12.83,1740590
2018-10-16,12.94,13.32,12.83,13.32,1887160
2018-10-17,13.5,13.55,13.36,13.46,2213500
2018-10-18,13.41,13.48,13.22,13.22,1399000
2018-10-19,12.99,13.36,12.99,13.36,1472320
2018-10-22,13.5,13.53,13.04,13.04,3078630
2018-10-23,12.94,13.01,12.41,12.8,2905470
2018-10-24,12.9,12.9,12.29,12.36,1873950
2018-10-25,11.64,12.11,11.64,11.83,2399580
2018-10-26,12.11,12.29,11.69,11.69,1839610
2018-10-29,11.69,11.73,10.94,11.22,1777890
2018-10-30,10.99,11.27,10.59,10.59,3661370
2018-10-31,11.03,11.31,10.9,11.31,3304540
2018-11-01,11.41,11.87,11.38,11.64,3270000
2018-11-02,11.69,12.25,11.64,12.18,2483810
2018-11-05,12.01,12.2,11.83,12.15,1690800
2018-11-06,12.25,12.29,11.92,12.11,1322300
2018-11-07,11.97,12.15,11.78,11.9,1027540
2018-11-08,12.11,12.18,11.99,12.08,1769480
2018-11-09,11.97,12.06,11.64,11.64,1085740
2018-11-12,11.41,11.57,11.17,11.48,1386520
2018-11-13,11.03,11.73,11.03,11.64,1367450
2018-11-14,11.59,11.83,11.52,11.57,1208610
2018-11-15,11.57,11.78,11.5,11.57,958180
2018-11-16,11.69,11.78,11.48,11.64,1315460
2018-11-19,11.73,12.01,11.69,11.97,1670150
2018-11-20,11.83,12.01,11.78,11.92,1027330
2018-11-21,11.73,11.87,11.71,11.8,1282400
2018-11-22,11.92,12.01,11.85,11.9,1634310
2018-11-23,11.87,11.92,11.64,11.64,1155950
2018-11-26,11.64,11.73,11.59,11.59,874080
