time,open,high,low,close,volume
2018-09-06,16.36,16.94,16.36,16.63,1694490
2018-09-07,16.7,16.82,16.45,16.66,541590
2018-09-10,16.66,16.7,16.51,16.54,575290
2018-09-11,16.39,16.73,16.36,16.73,840460
2018-09-12,16.82,17.0,16.57,16.57,1227620
2018-09-13,16.63,16.7,16.51,16.57,692040
2018-09-14,16.57,16.63,16.54,16.6,729710
2018-09-17,16.96,16.99,16.8,16.83,1073050
2018-09-18,16.44,16.93,16.44,16.9,586980
2018-09-19,17.03,17.51,16.99,17.22,1815200
2018-09-20,17.45,17.97,17.45,17.71,2707410
2018-09-21,17.81,18.03,17.45,17.74,1461660
2018-09-24,17.81,17.81,17.55,17.64,902900
2018-09-25,17.55,17.87,17.45,17.64,1408160
2018-09-26,17.64,18.03,17.58,17.87,1032460
2018-09-27,17.87,18.0,17.68,17.77,937310
2018-09-28,17.87,17.87,17.48,17.48,1228580
2018-10-01,17.51,17.81,17.42,17.45,1031210
2018-10-02,17.45,17.48,17.09,17.16,1053090
2018-10-03,17.19,17.42,17.09,17.29,591840
2018-10-04,17.48,18.0,17.38,18.0,1693650
2018-10-05,18.26,18.85,18.2,18.42,3174600
2018-10-08,18.42,18.68,18.33,18.42,2416840
2018-10-09,18.42,18.52,18.2,18.29,993180
2018-10-10,18.26,18.36,17.97,18.13,1263500
2018-10-11,17.48,17.68,16.86,16.86,3380950
2018-10-12,16.51,17.25,16.38,17.22,1393250
2018-10-15,17.22,17.25,16.7,16.7,720230
2018-10-16,16.86,17.12,16.83,17.12,597380
2018-10-17,17.48,17.68,17.29,17.48,904940
2018-10-18,17.35,17.97,17.29,17.64,1281460
2018-10-19,17.32,17.81,17.29,17.81,1288940
2018-10-22,17.74,17.87,17.22,17.22,563210
2018-10-23,17.32,17.32,16.38,16.8,1113850
2018-10-24,16.7,16.93,16.34,16.38,767960
2018-10-25,15.95,16.31,15.47,16.31,1127980
2018-10-26,16.57,17.45,16.57,17.45,2692290
2018-10-29,17.61,17.81,17.29,17.48,1653390
2018-10-30,17.35,17.64,17.29,17.51,882460
2018-10-31,17.68,18.07,17.51,17.84,1409640
2018-11-01,17.94,18.26,17.84,17.87,1148410
2018-11-02,18.03,18.13,17.64,17.87,796950
2018-11-05,17.87,18.13,17.81,17.94,1356330
2018-11-06,18.07,18.13,17.9,18.0,1037600
2018-11-07,18.13,18.13,17.94,18.0,700170
2018-11-08,18.16,18.49,18.03,18.33,1372030
2018-11-09,18.33,18.39,17.87,18.0,817570
2018-11-12,18.0,18.29,18.0,18.29,1113680
2018-11-13,18.13,19.37,18.0,18.98,2304170
2018-11-14,18.88,19.43,18.88,19.37,2503940
2018-11-15,19.37,19.43,18.55,18.59,1041200
2018-11-16,18.65,18.98,18.65,18.68,2106430
2018-11-19,18.72,18.75,18.46,18.72,1697410
2018-11-20,18.75,19.17,18.72,19.07,1868640
2018-11-21,19.04,19.2,18.85,19.14,1660390
2018-11-22,19.14,19.17,18.78,18.91,1406360
2018-11-23,18.75,18.85,18.46,18.49,1095260
2018-11-26,18.26,18.42,18.13,18.33,617960
2018-11-27,18.26,18.46,18.26,18.29,596890
2018-11-28,18.23,18.33,18.03,18.2,624420
2018-11-29,18.33,18.39,18.2,18.23,499640
2018-11-30,18.2,18.39,17.87,18.0,965240
2018-12-03,18.39,18.39,18.13,18.36,525130
2018-12-04,18.39,18.85,18.36,18.75,644230
2018-12-05,18.75,18.75,18.36,18.59,612740
2018-12-06,18.39,18.72,18.36,18.65,424790
2018-12-07,18.65,19.04,18.65,18.94,850120
2018-12-10,19.11,19.24,18.78,18.85,921890
2018-12-11,18.85,18.85,18.59,18.65,340210
2018-12-12,18.59,18.85,18.59,18.78,343170
