time,open,high,low,close,volume
2018-09-06,8.04,8.09,7.93,7.98,149610
2018-09-07,7.94,8.26,7.94,8.22,313780
2018-09-10,8.22,8.33,8.1,8.32,190300
2018-09-11,8.3,8.49,8.28,8.47,330180
2018-09-12,8.52,8.52,8.36,8.36,178990
2018-09-13,8.37,8.48,8.36,8.36,163910
2018-09-14,8.39,8.57,8.39,8.44,318600
2018-09-17,8.45,8.57,8.4,8.44,127590
2018-09-18,8.37,8.68,8.33,8.68,352530
2018-09-19,8.72,8.83,8.72,8.72,285260
2018-09-20,8.75,9.04,8.72,9.04,441630
2018-09-21,9.06,9.06,8.88,9.02,258350
2018-09-24,8.99,9.06,8.79,8.83,329110
2018-09-25,8.83,8.96,8.76,8.92,157420
2018-09-26,8.95,9.03,8.88,8.94,144960
2018-09-27,8.98,9.18,8.89,9.15,328360
2018-09-28,9.2,9.27,8.99,9.26,457730
2018-10-01,9.26,9.34,9.15,9.32,281100
2018-10-02,9.22,9.39,9.15,9.31,396100
2018-10-03,9.31,9.36,9.24,9.31,52150
2018-10-04,9.32,9.36,9.27,9.31,160780
2018-10-05,9.31,9.31,9.0,9.0,117990
2018-10-08,8.92,9.06,8.92,9.06,166490
2018-10-09,9.0,9.06,8.98,8.98,80670
2018-10-10,9.19,9.19,8.94,8.94,114050
2018-10-11,8.4,8.8,8.32,8.32,482720
2018-10-12,8.01,8.59,8.01,8.57,160570
2018-10-15,8.52,8.57,8.43,8.43,112660
2018-10-16,8.43,8.45,8.33,8.43,116200
2018-10-17,8.57,8.57,8.43,8.44,109640
2018-10-18,8.48,8.48,8.32,8.32,79870
2018-10-19,8.2,8.32,8.1,8.18,123750
2018-10-22,8.28,8.32,7.66,7.66,183270
2018-10-23,7.65,7.65,7.24,7.51,318030
2018-10-24,7.38,7.58,7.33,7.33,73250
2018-10-25,6.86,7.24,6.86,7.24,253580
2018-10-26,7.41,7.46,7.07,7.07,183920
2018-10-29,7.06,7.23,6.98,7.22,62390
2018-10-30,7.07,7.31,7.07,7.15,82950
2018-10-31,7.22,7.43,7.22,7.35,199620
2018-11-01,7.38,7.45,7.26,7.31,110670
2018-11-02,7.33,7.71,7.33,7.71,187060
2018-11-05,7.71,7.71,7.57,7.62,153180
2018-11-06,7.73,7.73,7.53,7.53,93970
2018-11-07,7.53,7.54,7.31,7.37,178340
2018-11-08,7.51,7.55,7.38,7.39,80360
2018-11-09,7.39,7.39,7.2,7.24,95410
2018-11-12,7.04,7.58,7.02,7.58,149910
2018-11-13,7.58,7.58,7.35,7.5,106710
2018-11-14,7.5,7.59,7.39,7.58,325130
2018-11-15,7.58,7.58,7.33,7.51,262940
2018-11-16,7.63,7.65,7.39,7.39,136370
2018-11-19,7.5,7.63,7.43,7.46,144260
2018-11-20,7.39,7.61,7.39,7.61,107180
2018-11-21,7.51,7.65,7.45,7.65,91960
2018-11-22,7.74,7.74,7.58,7.58,68500
2018-11-23,7.51,7.61,7.45,7.45,48960
2018-11-26,7.45,7.46,7.38,7.42,78480
2018-11-27,7.42,7.51,7.35,7.38,47520
2018-11-28,7.5,7.5,7.37,7.37,88600
2018-11-29,7.53,7.57,7.45,7.45,98910
2018-11-30,7.42,7.51,7.37,7.41,33580
2018-12-03,7.66,7.66,7.47,7.61,214230
2018-12-04,7.7,7.7,7.61,7.62,254720
2018-12-05,7.53,7.66,7.51,7.62,159290
2018-12-06,7.61,7.76,7.6,7.62,120770
2018-12-07,7.68,7.88,7.65,7.8,296570
2018-12-10,7.8,7.8,7.64,7.66,136610
2018-12-11,7.79,7.79,7.54,7.57,48260
2018-12-12,7.56,7.61,7.46,7.61,247530
2018-12-13,7.61,7.73,7.61,7.61,164790
2018-12-14,7.6,7.64,7.51,7.51,88620
2018-12-17,7.42,7.46,7.19,7.22,231510
2018-12-18,6.97,7.12,6.92,6.92,260010
2018-12-19,6.92,6.97,6.65,6.65,189050
2018-12-20,6.51,6.85,6.51,6.85,91430
2018-12-21,6.82,6.85,6.65,6.73,68790
2018-12-24,6.73,6.75,6.51,6.51,82260
2018-12-25,6.31,6.38,6.17,6.35,214460
2018-12-26,6.5,6.5,6.31,6.31,83380
2018-12-27,6.65,6.65,6.42,6.43,79160
2018-12-28,6.43,6.44,6.31,6.35,80750
2019-01-02,6.31,6.48,6.27,6.29,39480
2019-01-03,6.24,6.25,5.86,5.95,369880
2019-01-04,5.95,6.04,5.72,6.02,193000
2019-01-07,6.13,6.13,6.04,6.05,115130
2019-01-08,6.05,6.13,5.97,6.05,96320
2019-01-09,6.1,6.1,5.9,5.97,246230
2019-01-10,5.97,6.01,5.83,5.83,174450
2019-01-11,5.9,5.98,5.87,5.92,184340
2019-01-14,5.97,5.98,5.82,5.83,148510
2019-01-15,5.83,5.93,5.81,5.83,181910
2019-01-16,5.91,5.95,5.85,5.9,248700
2019-01-17,5.87,5.97,5.87,5.91,121120
2019-01-18,5.91,5.95,5.87,5.89,113300
2019-01-21,5.94,5.97,5.83,5.92,331190
2019-01-22,5.97,6.24,5.92,6.14,379810
2019-01-23,6.13,6.35,6.07,6.33,352790
2019-01-24,6.35,6.35,6.18,6.2,150580
2019-01-25,6.21,6.27,6.17,6.17,160760
2019-01-28,6.14,6.19,6.04,6.09,147050
2019-01-29,6.05,6.24,5.97,6.24,246630
2019-01-30,6.25,6.27,6.02,6.08,212660
2019-01-31,6.17,6.24,6.12,6.16,295510
2019-02-01,6.2,6.21,6.05,6.09,93960
2019-02-11,6.24,6.51,6.22,6.51,501210
2019-02-12,6.63,6.92,6.55,6.89,715100
2019-02-13,7.03,7.05,6.89,6.93,610580
2019-02-14,6.89,6.92,6.78,6.84,340940
2019-02-15,6.78,6.97,6.73,6.92,439900
2019-02-18,6.97,6.99,6.9,6.97,473100
2019-02-19,7.05,7.05,6.81,6.81,665060
2019-02-20,7.29,7.29,7.26,7.29,434950
2019-02-21,7.69,7.69,7.42,7.61,1172040
2019-02-22,7.55,7.63,7.41,7.47,428680
2019-02-25,7.49,7.98,7.49,7.98,980960
2019-02-26,8.07,8.26,8.01,8.17,1072420
2019-02-27,8.25,8.26,8.11,8.11,427530
2019-02-28,8.02,8.11,7.61,7.61,959090
2019-03-01,7.87,7.93,7.71,7.85,421460
2019-03-04,7.85,7.98,7.82,7.87,637340
2019-03-05,7.87,7.98,7.74,7.77,560790
2019-03-06,7.82,7.9,7.66,7.87,380950
2019-03-07,7.89,8.1,7.87,7.98,480840
2019-03-08,7.74,7.87,7.74,7.74,457250
2019-03-11,7.79,7.81,7.71,7.74,200630
2019-03-12,7.85,7.85,7.73,7.82,443870
2019-03-13,7.93,8.35,7.93,8.27,1855620
2019-03-14,8.33,8.38,8.22,8.25,606620
2019-03-15,8.25,8.25,8.11,8.22,366350
2019-03-18,8.22,8.39,8.22,8.3,611460
2019-03-19,8.3,8.41,8.14,8.14,524750
2019-03-20,8.01,8.17,7.79,8.11,479070
2019-03-21,8.17,8.19,7.74,7.74,594230
2019-03-22,7.87,7.9,7.71,7.78,543490
2019-03-25,7.5,7.63,7.37,7.47,597270
2019-03-26,7.58,7.71,7.53,7.63,287160
2019-03-27,7.67,7.73,7.59,7.65,203860
2019-03-28,7.47,7.67,7.47,7.63,263670
2019-03-29,7.67,7.69,7.53,7.53,420940
2019-04-01,7.61,7.61,7.45,7.47,618600
2019-04-02,7.61,7.63,7.42,7.42,554090
2019-04-03,7.34,7.51,7.34,7.37,468060
2019-04-04,7.42,7.53,7.35,7.37,576620
2019-04-05,7.45,7.47,7.34,7.37,620730
2019-04-08,7.39,7.54,7.34,7.53,691920
2019-04-09,7.55,7.77,7.53,7.58,1251210
2019-04-10,7.53,7.58,7.45,7.49,388050
2019-04-11,7.49,7.53,7.37,7.39,586250
2019-04-12,7.34,7.46,7.26,7.26,675750
2019-04-16,7.23,7.23,7.09,7.19,490400
2019-04-17,7.23,7.26,7.11,7.11,260350
2019-04-18,6.94,7.11,6.9,6.91,672110
2019-04-19,6.9,7.02,6.83,6.83,529700
2019-04-22,6.67,6.73,6.49,6.49,842970
2019-04-23,6.49,6.62,6.46,6.49,580110
2019-04-24,6.51,6.94,6.51,6.91,542300
2019-04-25,6.91,6.91,6.73,6.78,410940
2019-04-26,6.78,6.86,6.74,6.79,363410
2019-05-02,6.79,6.87,6.62,6.62,408240
2019-05-03,6.62,6.85,6.55,6.75,527190
2019-05-06,6.67,6.7,6.59,6.67,630990
2019-05-07,6.81,6.86,6.7,6.83,420760
2019-05-08,6.67,7.05,6.67,7.05,628110
2019-05-09,7.07,7.14,6.91,6.94,625090
2019-05-10,7.02,7.03,6.89,7.02,485760
2019-05-13,7.07,7.19,7.02,7.19,635380
2019-05-14,7.07,7.26,7.02,7.21,594410
2019-05-15,7.26,7.34,7.23,7.29,936420
2019-05-16,7.34,7.35,7.22,7.22,297440
2019-05-17,7.22,7.25,7.07,7.13,727260
2019-05-20,7.18,7.27,7.11,7.27,502060
2019-05-21,7.49,7.52,7.33,7.33,725060
2019-05-22,7.33,7.46,7.32,7.32,712170
2019-05-23,7.26,7.36,7.24,7.3,328960
2019-05-24,7.24,7.32,7.14,7.17,484260
2019-05-27,7.17,7.23,6.96,7.04,513630
2019-05-28,7.06,7.14,6.99,7.04,400850
2019-05-29,7.04,7.17,7.01,7.13,207560
2019-05-30,7.12,7.2,7.06,7.13,250120
2019-05-31,7.16,7.16,7.0,7.0,266260
2019-06-03,6.86,6.89,6.66,6.66,468220
2019-06-04,6.68,6.8,6.56,6.61,388480
2019-06-05,6.74,6.8,6.61,6.68,180460
2019-06-06,6.66,6.71,6.48,6.56,338920
2019-06-07,6.6,6.68,6.6,6.67,255920
2019-06-10,6.77,6.83,6.76,6.79,260670
2019-06-11,6.8,6.8,6.7,6.76,204070
2019-06-12,6.76,6.8,6.66,6.73,175320
2019-06-13,6.66,6.71,6.57,6.67,215290
2019-06-14,6.63,6.74,6.61,6.63,158890
2019-06-17,6.71,6.71,6.51,6.56,189500
2019-06-18,6.51,6.6,6.46,6.53,270310
2019-06-19,6.63,6.68,6.53,6.56,247640
2019-06-20,6.56,6.79,6.53,6.79,481230
2019-06-21,6.83,7.0,6.8,6.89,531540
2019-06-24,6.89,7.03,6.83,6.91,484720
2019-06-25,6.89,6.89,6.81,6.83,246710
2019-06-26,6.84,6.86,6.74,6.74,183530
2019-06-27,6.74,6.76,6.63,6.63,242760
2019-06-28,6.63,6.71,6.58,6.7,260870
2019-07-01,6.83,6.84,6.79,6.83,257320
2019-07-02,6.89,6.89,6.8,6.81,262430
2019-07-03,6.81,6.87,6.74,6.8,306390
2019-07-04,6.81,7.01,6.8,7.0,937160
2019-07-05,7.1,7.17,7.06,7.06,584790
2019-07-08,7.03,7.09,6.86,6.96,383720
2019-07-09,6.96,6.96,6.86,6.9,573170
2019-07-10,6.89,6.97,6.77,6.8,665430
2019-07-11,6.86,6.91,6.83,6.84,629220
2019-07-12,6.89,7.0,6.84,6.84,713700
2019-07-15,6.84,6.91,6.81,6.84,372590
2019-07-16,6.74,6.8,6.66,6.67,1543350
2019-07-17,6.68,6.91,6.68,6.86,1272270
2019-07-18,6.86,6.87,6.76,6.79,428710
2019-07-19,6.79,6.86,6.76,6.76,875690
2019-07-22,6.68,6.7,6.51,6.56,1320690
2019-07-23,6.54,6.63,6.54,6.6,614710
2019-07-24,6.6,6.61,6.4,6.41,975560
2019-07-25,6.4,6.48,6.35,6.38,768310
2019-07-26,6.38,6.43,6.2,6.24,970680
2019-07-29,6.21,6.24,6.11,6.13,374710
2019-07-30,6.15,6.3,6.11,6.11,441010
2019-07-31,6.11,6.17,6.02,6.13,561610
2019-08-01,6.13,6.2,6.08,6.11,393140
2019-08-02,6.08,6.08,5.97,6.04,793330
2019-08-05,6.04,6.04,5.84,5.87,818930
2019-08-06,5.74,5.77,5.62,5.74,1331160
2019-08-07,5.8,5.88,5.57,5.62,951570
2019-08-08,5.59,5.85,5.55,5.81,1206220
2019-08-09,5.87,5.95,5.8,5.8,938650
2019-08-12,5.8,5.85,5.65,5.77,549250
2019-08-13,5.69,5.71,5.59,5.62,914070
2019-08-14,5.68,5.72,5.62,5.68,565210
2019-08-15,5.49,5.64,5.49,5.61,621640
2019-08-16,5.62,6.0,5.62,6.0,2859490
2019-08-19,6.17,6.23,6.07,6.1,1455370
2019-08-20,6.14,6.2,6.04,6.04,983570
2019-08-21,6.02,6.23,6.0,6.15,1681980
2019-08-22,6.31,6.35,6.18,6.24,1533030
2019-08-23,6.18,6.27,6.08,6.11,681610
2019-08-26,5.98,6.02,5.92,5.97,1243510
2019-08-27,6.02,6.11,5.85,5.87,933340
2019-08-28,5.88,5.9,5.77,5.77,708480
2019-08-29,5.84,5.85,5.77,5.8,514260
2019-08-30,5.82,6.05,5.82,6.01,828600
2019-09-03,5.97,6.01,5.92,5.92,457540
2019-09-04,5.9,6.13,5.87,6.05,852210
2019-09-05,6.1,6.17,6.05,6.05,840630
2019-09-06,6.05,6.13,6.02,6.08,631210
2019-09-09,6.05,6.13,6.0,6.0,461650
2019-09-10,6.02,6.21,5.97,6.11,1535940
2019-09-11,6.11,6.17,6.02,6.05,421390
2019-09-12,6.14,6.2,6.07,6.17,671520
2019-09-13,6.17,6.38,6.1,6.35,1641050
2019-09-16,6.38,6.61,6.37,6.5,1741690
2019-09-17,6.46,6.81,6.43,6.77,2311530
2019-09-18,6.71,6.83,6.64,6.68,1719950
2019-09-19,6.64,6.81,6.64,6.77,1321040
2019-09-20,6.74,6.8,6.71,6.71,783970
2019-09-23,6.71,6.91,6.66,6.68,1938490
2019-09-24,6.74,6.8,6.68,6.77,772220
2019-09-25,6.74,6.79,6.7,6.79,597950
2019-09-26,6.8,7.14,6.8,7.12,2373910
2019-09-27,7.12,7.17,7.0,7.01,1469290
2019-09-30,7.12,7.14,6.94,6.97,1171700
2019-10-01,6.94,7.1,6.94,7.1,932710
2019-10-02,7.09,7.14,7.0,7.01,1074480
2019-10-03,6.89,7.03,6.84,7.01,1266360
2019-10-04,7.03,7.04,6.66,6.66,1958070
2019-10-07,6.73,6.77,6.41,6.43,1372570
2019-10-08,6.44,6.66,6.43,6.54,894560
2019-10-09,6.54,6.6,6.48,6.54,560380
2019-10-10,6.53,6.63,6.48,6.5,608290
2019-10-11,6.54,6.56,6.48,6.53,449740
2019-10-14,6.66,6.81,6.64,6.74,1161500
2019-10-15,6.74,6.76,6.67,6.68,467280
2019-10-16,6.76,6.76,6.67,6.7,576870
2019-10-17,6.66,6.66,6.57,6.58,485490
2019-10-18,6.6,6.66,6.43,6.46,690310
2019-10-21,6.35,6.43,6.33,6.37,1039870
