time,open,high,low,close,volume
2018-09-06,7.67,7.69,7.49,7.57,172280
2018-09-07,7.57,7.66,7.49,7.57,131090
2018-09-10,7.56,7.78,7.51,7.64,112460
2018-09-11,7.63,8.17,7.63,8.17,461460
2018-09-12,8.17,8.39,8.14,8.21,272170
2018-09-13,8.26,8.26,8.12,8.19,202450
2018-09-14,8.19,8.46,8.14,8.35,261200
2018-09-17,8.42,8.69,8.37,8.57,290600
2018-09-18,8.62,8.69,8.46,8.69,195320
2018-09-19,8.78,8.91,8.61,8.62,300490
2018-09-20,8.62,8.69,8.46,8.6,183940
2018-09-21,8.6,9.0,8.6,8.75,192950
2018-09-24,8.84,8.87,8.7,8.71,158260
2018-09-25,8.71,8.93,8.69,8.91,309950
2018-09-26,8.8,8.98,8.8,8.87,180600
2018-09-27,8.91,8.91,8.66,8.71,229580
2018-09-28,8.69,8.84,8.69,8.73,170340
2018-10-01,8.79,9.07,8.71,8.96,319170
2018-10-02,8.98,9.14,8.83,9.0,236600
2018-10-03,9.0,9.01,8.78,8.82,196360
2018-10-04,8.82,8.87,8.73,8.74,152170
2018-10-05,8.69,8.88,8.6,8.63,270510
2018-10-08,8.64,8.73,8.52,8.65,254470
2018-10-09,8.65,8.89,8.65,8.78,236460
2018-10-10,8.84,8.87,8.66,8.69,147760
2018-10-11,8.46,8.53,8.14,8.14,417940
2018-10-12,8.12,8.46,8.1,8.44,181080
2018-10-15,8.44,8.46,8.24,8.35,48890
2018-10-16,8.35,8.55,8.28,8.3,163300
2018-10-17,8.44,8.48,8.35,8.48,153400
2018-10-18,8.46,8.51,8.36,8.39,157220
2018-10-19,8.3,8.37,8.26,8.35,99550
2018-10-22,8.48,8.48,8.3,8.3,116180
2018-10-23,8.26,8.33,7.85,8.07,235780
2018-10-24,8.01,8.01,7.54,7.54,200590
2018-10-25,7.22,7.45,7.02,7.42,1531630
2018-10-26,7.49,7.51,7.29,7.37,282200
2018-10-29,7.37,7.45,7.22,7.45,313390
2018-10-30,7.24,7.55,7.24,7.42,401250
2018-10-31,7.38,7.65,7.38,7.65,398380
2018-11-01,7.65,7.9,7.49,7.63,443440
2018-11-02,7.63,7.87,7.63,7.85,253950
2018-11-05,7.87,7.87,7.69,7.81,334760
2018-11-06,7.81,7.87,7.67,7.73,467050
2018-11-07,7.74,7.82,7.49,7.67,184740
2018-11-08,7.76,7.76,7.36,7.36,438890
2018-11-09,7.31,7.4,6.99,7.02,381170
2018-11-12,6.86,7.33,6.84,7.32,237320
2018-11-13,7.32,7.36,7.17,7.17,232940
2018-11-14,7.22,7.31,7.11,7.2,152210
2018-11-15,7.24,7.56,7.21,7.39,318130
2018-11-16,7.39,7.65,7.39,7.65,207200
2018-11-19,7.66,7.67,7.45,7.67,177750
2018-11-20,7.67,7.8,7.57,7.72,209290
2018-11-21,7.72,7.72,7.56,7.7,143390
2018-11-22,7.83,7.83,7.7,7.73,110540
2018-11-23,7.83,7.85,7.73,7.77,206280
2018-11-26,7.67,7.8,7.6,7.6,223350
2018-11-27,7.66,7.67,7.48,7.48,229100
2018-11-28,7.48,7.59,7.4,7.59,111260
2018-11-29,7.65,7.67,7.6,7.66,179630
2018-11-30,7.67,7.85,7.58,7.85,287330
2018-12-03,7.9,8.21,7.9,8.14,290440
2018-12-04,8.24,8.24,8.03,8.12,235710
2018-12-05,8.08,8.53,8.02,8.28,378370
2018-12-06,8.28,8.69,8.28,8.51,363230
2018-12-07,8.53,8.75,8.48,8.51,424610
2018-12-10,8.33,8.51,8.33,8.44,274580
2018-12-11,8.35,8.57,8.35,8.57,232840
2018-12-12,8.55,8.75,8.51,8.66,338350
2018-12-13,8.62,8.77,8.52,8.57,377530
2018-12-14,8.51,8.64,8.51,8.57,227210
2018-12-17,8.57,8.57,8.33,8.39,319920
2018-12-18,8.24,8.35,8.07,8.19,296090
2018-12-19,8.19,8.24,8.07,8.2,237420
2018-12-20,8.18,8.33,8.12,8.26,223070
2018-12-21,8.24,8.34,8.12,8.27,137240
2018-12-24,8.4,8.5,8.36,8.44,205440
2018-12-25,8.37,8.4,8.0,8.14,195860
2018-12-26,8.14,8.28,8.14,8.14,168190
2018-12-27,8.35,8.35,8.14,8.27,200660
2018-12-28,8.19,8.22,8.0,8.0,184270
2019-01-02,8.0,8.23,7.68,7.68,229660
2019-01-03,7.68,7.82,7.58,7.63,180650
2019-01-04,7.61,7.99,7.49,7.99,181500
2019-01-07,8.12,8.23,8.07,8.23,154070
2019-01-08,8.29,8.32,8.19,8.21,207610
2019-01-09,8.14,8.35,8.14,8.34,192550
2019-01-10,8.35,8.37,8.21,8.21,63000
2019-01-11,8.21,8.49,8.21,8.4,415380
2019-01-14,8.4,8.44,8.27,8.4,152710
2019-01-15,8.35,8.58,8.35,8.44,228400
2019-01-16,8.49,8.49,8.28,8.28,141700
2019-01-17,8.35,8.35,8.19,8.21,202540
2019-01-18,8.2,8.23,8.15,8.18,158750
