time,open,high,low,close,volume
2018-09-06,4.92,4.94,4.82,4.85,2130780
2018-09-07,4.85,4.92,4.8,4.82,5128520
2018-09-10,4.8,4.96,4.78,4.87,4179410
2018-09-11,4.87,4.94,4.85,4.92,2184580
2018-09-12,4.92,5.01,4.92,4.96,3790600
2018-09-13,5.01,5.26,4.94,5.26,8088770
2018-09-14,5.29,5.43,5.15,5.15,4367980
2018-09-17,5.15,5.31,5.15,5.26,3868100
2018-09-18,5.19,5.61,5.15,5.61,11784570
2018-09-19,5.7,5.94,5.59,5.68,9113780
2018-09-20,5.68,5.82,5.61,5.8,4970080
2018-09-21,5.8,5.96,5.7,5.73,6437210
2018-09-24,5.7,5.82,5.63,5.7,5203170
2018-09-25,5.61,5.89,5.59,5.8,6346790
2018-09-26,5.87,6.12,5.8,5.94,7460560
2018-09-27,6.0,6.0,5.87,5.87,4170130
2018-09-28,5.87,6.0,5.82,5.87,4855850
2018-10-01,5.87,6.12,5.82,5.89,8381820
2018-10-02,5.91,5.98,5.8,5.82,5657990
2018-10-03,5.84,5.91,5.61,5.8,6776680
2018-10-04,5.8,5.87,5.73,5.84,4538430
2018-10-05,5.84,6.0,5.8,5.89,5912990
2018-10-08,5.91,6.19,5.87,6.17,11860370
2018-10-09,6.17,6.33,6.1,6.1,6799750
2018-10-10,6.12,6.14,5.82,5.82,7966210
2018-10-11,5.52,5.61,5.43,5.43,13057970
2018-10-12,5.26,5.47,5.15,5.43,6898320
2018-10-15,5.43,5.43,5.17,5.17,2903690
2018-10-16,5.17,5.33,5.17,5.29,2930710
2018-10-17,5.47,5.47,5.31,5.33,2901050
2018-10-18,5.31,5.43,5.29,5.4,2359010
2018-10-19,5.29,5.38,5.19,5.26,3098850
2018-10-22,5.29,5.33,5.1,5.1,3946590
2018-10-23,5.05,5.08,4.75,4.78,7044600
2018-10-24,4.78,4.87,4.59,4.59,5547080
2018-10-25,4.41,4.54,4.31,4.5,4674370
2018-10-26,4.61,4.8,4.58,4.64,3088450
2018-10-29,4.59,4.66,4.52,4.59,1691530
2018-10-30,4.45,4.63,4.45,4.6,2168100
2018-10-31,4.28,4.42,4.28,4.28,14725320
2018-11-01,4.17,4.17,3.98,3.98,7711930
2018-11-02,3.92,4.01,3.7,3.81,12946780
2018-11-05,3.82,4.03,3.81,4.03,3680270
2018-11-06,4.08,4.29,4.04,4.04,5320890
2018-11-07,4.0,4.07,3.94,3.94,4828320
2018-11-08,4.03,4.05,3.96,4.02,2572850
2018-11-09,4.02,4.02,3.83,3.83,3377750
2018-11-12,3.83,3.83,3.66,3.76,3066530
2018-11-13,3.69,3.76,3.68,3.68,3215400
2018-11-14,3.68,3.73,3.52,3.52,4160560
2018-11-15,3.52,3.52,3.34,3.34,3897650
2018-11-16,3.39,3.46,3.39,3.42,2080150
2018-11-19,3.46,3.53,3.45,3.51,1600820
2018-11-20,3.48,3.58,3.44,3.56,1887570
2018-11-21,3.48,3.57,3.48,3.54,1376220
2018-11-22,3.55,3.55,3.43,3.43,3086660
2018-11-23,3.45,3.45,3.19,3.22,8915720
2018-11-26,3.25,3.32,3.25,3.29,1729850
2018-11-27,3.29,3.32,3.25,3.27,1979470
2018-11-28,3.25,3.32,3.25,3.25,2458800
2018-11-29,3.25,3.29,3.07,3.08,4841520
2018-11-30,3.07,3.08,2.92,3.07,3638960
2018-12-03,3.16,3.28,3.16,3.28,3050420
2018-12-04,3.39,3.45,3.35,3.36,4472870
2018-12-05,3.29,3.36,3.25,3.32,3223660
2018-12-06,3.32,3.45,3.29,3.39,3264730
2018-12-07,3.47,3.61,3.43,3.56,5556150
2018-12-10,3.56,3.56,3.48,3.49,3459060
2018-12-11,3.45,3.48,3.33,3.36,3355510
2018-12-12,3.37,3.45,3.37,3.45,2217350
2018-12-13,3.48,3.5,3.39,3.41,2023370
2018-12-14,3.41,3.43,3.36,3.36,1910520
2018-12-17,3.34,3.38,3.25,3.25,2246110
2018-12-18,3.2,3.25,3.19,3.25,2441170
2018-12-19,3.26,3.35,3.25,3.25,2191910
2018-12-20,3.25,3.28,3.24,3.25,1202330
2018-12-21,3.25,3.25,3.18,3.18,3837960
2018-12-24,3.18,3.25,3.07,3.07,2008650
2018-12-25,2.96,3.01,2.92,2.97,3545440
2018-12-26,2.97,3.04,2.76,2.76,4041020
2018-12-27,2.85,2.95,2.83,2.95,2516080
2018-12-28,3.04,3.14,3.01,3.02,3126230
2019-01-02,3.05,3.1,2.98,3.0,1597410
2019-01-03,2.95,2.99,2.87,2.9,2227010
2019-01-04,2.84,2.91,2.75,2.86,1836640
2019-01-07,2.94,2.99,2.88,2.98,1559150
2019-01-08,3.01,3.01,2.97,2.99,1250200
2019-01-09,3.0,3.15,3.0,3.11,2571490
2019-01-10,3.13,3.22,3.12,3.18,3075400
2019-01-11,3.18,3.21,3.01,3.1,2686240
2019-01-14,3.11,3.27,3.1,3.13,2662860
2019-01-15,3.15,3.24,3.14,3.18,2809920
2019-01-16,3.22,3.22,3.13,3.14,1856730
2019-01-17,3.14,3.15,3.06,3.07,2035620
2019-01-18,3.07,3.11,3.04,3.04,1512320
2019-01-21,3.04,3.09,3.01,3.05,1395500
2019-01-22,3.06,3.08,2.99,2.99,1566030
2019-01-23,2.99,3.04,2.97,3.0,1097320
2019-01-24,3.01,3.04,3.01,3.01,616400
2019-01-25,3.01,3.15,3.01,3.11,2251250
2019-01-28,3.11,3.18,3.11,3.11,1646370
2019-01-29,3.12,3.13,3.08,3.1,913440
2019-01-30,3.11,3.12,3.08,3.08,1225210
2019-01-31,3.11,3.12,3.06,3.06,1545130
2019-02-01,3.06,3.08,3.0,3.0,2412820
2019-02-11,3.06,3.07,3.01,3.02,1709040
2019-02-12,3.02,3.23,3.02,3.23,3176750
2019-02-13,3.39,3.45,3.34,3.45,8406120
2019-02-14,3.5,3.62,3.48,3.52,5398550
2019-02-15,3.47,3.64,3.44,3.58,4845370
2019-02-18,3.58,3.62,3.54,3.57,3429270
2019-02-19,3.57,3.6,3.48,3.48,4213620
2019-02-20,3.48,3.49,3.39,3.42,3388280
2019-02-21,3.43,3.48,3.4,3.45,2005100
2019-02-22,3.46,3.7,3.45,3.7,11259180
2019-02-25,3.85,3.95,3.8,3.95,8491600
2019-02-26,3.99,4.22,3.98,4.13,7240200
2019-02-27,4.13,4.35,4.01,4.22,8466710
2019-02-28,4.22,4.31,4.03,4.04,9114530
2019-03-01,4.17,4.31,4.08,4.31,7586950
2019-03-04,4.54,4.61,4.41,4.61,9697150
2019-03-05,4.64,4.82,4.53,4.6,10507760
2019-03-06,4.58,4.64,4.32,4.44,10419890
2019-03-07,4.41,4.44,4.27,4.27,6382790
2019-03-08,4.17,4.29,4.1,4.29,7904440
2019-03-11,4.36,4.5,4.36,4.47,5444980
2019-03-12,4.61,4.61,4.36,4.38,4954720
2019-03-13,4.41,4.45,4.27,4.27,5366590
2019-03-14,4.27,4.33,4.22,4.31,3218840
2019-03-15,4.35,4.35,4.17,4.21,6428140
2019-03-18,4.34,4.4,4.32,4.32,3928600
2019-03-19,4.32,4.34,4.22,4.22,3769740
2019-03-20,4.22,4.34,4.19,4.24,3710370
2019-03-21,4.33,4.41,4.25,4.27,4509730
2019-03-22,4.38,4.38,4.29,4.34,3342300
2019-03-25,4.27,4.29,4.21,4.22,4080110
2019-03-26,4.22,4.28,4.18,4.2,3044270
2019-03-27,4.25,4.3,4.22,4.28,2466640
2019-03-28,4.24,4.51,4.22,4.41,7727830
2019-03-29,4.45,4.49,4.36,4.36,3614080
2019-04-01,4.36,4.4,4.24,4.25,3347090
2019-04-02,4.29,4.31,4.23,4.24,3364210
2019-04-03,4.24,4.31,4.2,4.31,2671670
2019-04-04,4.35,4.37,4.29,4.29,2286320
2019-04-05,4.34,4.36,4.3,4.3,2620880
2019-04-08,4.3,4.31,4.25,4.26,2339360
2019-04-09,4.31,4.31,4.25,4.25,2751850
2019-04-10,4.23,4.24,4.2,4.2,3255800
2019-04-11,4.21,4.25,4.2,4.22,1489380
2019-04-12,4.24,4.24,4.21,4.23,2512730
2019-04-16,4.17,4.18,4.01,4.01,5643350
2019-04-17,4.01,4.03,3.73,3.73,7525960
2019-04-18,3.63,3.66,3.47,3.57,4339120
2019-04-19,3.57,3.82,3.57,3.82,3757320
2019-04-22,4.03,4.04,3.93,3.93,2541040
2019-04-23,3.88,3.94,3.88,3.93,1781910
2019-04-24,3.92,4.1,3.9,4.08,2530530
2019-04-25,4.08,4.19,4.04,4.06,2757700
2019-04-26,4.07,4.11,4.05,4.08,1871070
2019-05-02,4.06,4.26,4.03,4.26,4547830
2019-05-03,4.26,4.38,4.24,4.26,3278720
2019-05-06,4.21,4.21,4.13,4.16,4444360
2019-05-07,4.18,4.2,4.12,4.16,2898430
2019-05-08,4.09,4.14,4.08,4.14,2434000
2019-05-09,4.11,4.15,4.08,4.08,2397590
2019-05-10,4.12,4.14,4.08,4.14,4738760
2019-05-13,4.13,4.23,4.12,4.19,2671350
2019-05-14,4.14,4.25,4.14,4.23,2941820
2019-05-15,4.23,4.26,4.21,4.22,3278800
2019-05-16,4.22,4.24,4.19,4.19,2290950
2019-05-17,4.2,4.21,4.14,4.14,2554020
2019-05-20,4.12,4.21,4.12,4.16,2518670
2019-05-21,4.21,4.21,4.15,4.15,1848720
2019-05-22,4.16,4.21,4.15,4.16,2599880
2019-05-23,4.15,4.2,4.15,4.19,2961940
2019-05-24,4.19,4.19,4.13,4.16,2016250
2019-05-27,4.16,4.34,4.13,4.23,6755500
2019-05-28,4.26,4.36,4.26,4.3,8076420
2019-05-29,4.3,4.35,4.27,4.28,2929010
2019-05-30,4.26,4.29,4.22,4.22,3894680
2019-05-31,4.18,4.22,4.14,4.15,4459300
2019-06-03,4.14,4.14,3.98,3.98,4894260
2019-06-04,4.0,4.06,3.98,3.99,2825240
2019-06-05,4.03,4.08,3.96,3.96,1551760
2019-06-06,3.96,3.98,3.86,3.9,2611440
2019-06-07,3.9,3.95,3.89,3.9,1360750
2019-06-10,3.9,3.97,3.9,3.95,1447710
2019-06-11,3.97,4.02,3.96,4.01,1335100
2019-06-12,3.96,4.02,3.96,3.97,1173390
2019-06-13,3.95,3.99,3.95,3.96,1321470
2019-06-14,3.95,3.99,3.95,3.99,947380
2019-06-17,3.98,4.0,3.92,3.92,1262670
2019-06-18,3.92,3.95,3.9,3.93,1661610
2019-06-19,3.95,3.98,3.91,3.92,1822530
2019-06-20,3.95,4.0,3.94,3.94,2110870
2019-06-21,3.94,3.97,3.93,3.94,959970
2019-06-24,3.94,3.97,3.93,3.93,1359130
2019-06-25,3.93,3.94,3.87,3.87,3128990
2019-06-26,3.88,3.9,3.83,3.83,3058380
2019-06-27,3.83,3.85,3.74,3.76,2170850
2019-06-28,3.77,3.78,3.71,3.78,1921490
2019-07-01,3.81,3.94,3.81,3.93,2669750
2019-07-02,3.93,3.98,3.9,3.91,2338240
2019-07-03,3.91,3.91,3.83,3.84,2183790
2019-07-04,3.8,3.84,3.77,3.83,2439660
2019-07-05,3.83,3.88,3.78,3.86,2315970
2019-07-08,3.86,3.86,3.8,3.82,819710
2019-07-09,3.82,3.83,3.81,3.81,1065380
2019-07-10,3.79,3.83,3.74,3.74,1753240
2019-07-11,3.74,3.78,3.68,3.68,2026000
2019-07-12,3.69,3.75,3.69,3.72,1710330
2019-07-15,3.72,3.87,3.7,3.82,1667780
2019-07-16,3.92,3.96,3.83,3.89,4294300
2019-07-17,3.93,3.93,3.88,3.88,1466410
2019-07-18,3.88,3.92,3.87,3.89,1591900
2019-07-19,3.9,3.94,3.9,3.9,2435370
2019-07-22,3.93,3.93,3.83,3.83,1738270
2019-07-23,3.83,3.88,3.82,3.83,1163120
2019-07-24,3.82,3.87,3.82,3.82,1159490
2019-07-25,3.82,3.85,3.81,3.83,1772480
2019-07-26,3.83,3.85,3.78,3.78,1725120
2019-07-29,3.82,3.82,3.72,3.72,1302450
2019-07-30,3.74,3.74,3.69,3.71,1425040
2019-07-31,3.72,3.77,3.72,3.74,1443410
2019-08-01,3.74,3.76,3.72,3.73,1075060
2019-08-02,3.72,3.72,3.69,3.72,1749850
2019-08-05,3.72,3.72,3.58,3.6,2524450
2019-08-06,3.59,3.59,3.47,3.53,2504460
2019-08-07,3.58,3.58,3.48,3.48,1249970
2019-08-08,3.48,3.51,3.46,3.48,1605340
2019-08-09,3.48,3.53,3.48,3.52,1648660
2019-08-12,3.54,3.54,3.49,3.49,947190
2019-08-13,3.49,3.49,3.43,3.44,1748730
2019-08-14,3.47,3.48,3.44,3.44,1479600
2019-08-15,3.42,3.43,3.39,3.43,1039900
2019-08-16,3.44,3.45,3.38,3.39,1376600
2019-08-19,3.39,3.42,3.36,3.37,1639600
2019-08-20,3.37,3.39,3.35,3.36,927500
2019-08-21,3.37,3.45,3.37,3.45,2699760
2019-08-22,3.49,3.67,3.48,3.62,4051280
2019-08-23,3.67,3.71,3.63,3.63,2224030
2019-08-26,3.58,3.6,3.49,3.49,2051510
2019-08-27,3.51,3.55,3.47,3.5,1652240
2019-08-28,3.49,3.5,3.44,3.44,1284890
2019-08-29,3.44,3.47,3.39,3.41,1674360
2019-08-30,3.43,3.51,3.42,3.48,1309510
2019-09-03,3.47,3.51,3.46,3.46,1691520
2019-09-04,3.46,3.46,3.4,3.42,820730
2019-09-05,3.44,3.44,3.39,3.39,1018880
2019-09-06,3.42,3.42,3.36,3.37,1199510
2019-09-09,3.37,3.4,3.35,3.38,790050
2019-09-10,3.35,3.37,3.29,3.31,1260680
2019-09-11,3.32,3.39,3.25,3.39,1758270
2019-09-12,3.39,3.41,3.35,3.37,1191540
2019-09-13,3.36,3.37,3.32,3.32,1210340
2019-09-16,3.32,3.34,3.27,3.27,1783790
2019-09-17,3.27,3.36,3.27,3.32,1537530
2019-09-18,3.32,3.37,3.31,3.33,1400990
2019-09-19,3.33,3.36,3.31,3.31,906720
2019-09-20,3.31,3.44,3.31,3.38,3922210
2019-09-23,3.38,3.41,3.34,3.34,1551350
2019-09-24,3.33,3.37,3.33,3.34,598850
2019-09-25,3.33,3.36,3.31,3.31,1217590
2019-09-26,3.32,3.34,3.3,3.3,1150240
2019-09-27,3.3,3.36,3.3,3.34,1716000
2019-09-30,3.34,3.43,3.33,3.42,3732900
2019-10-01,3.42,3.51,3.41,3.5,3014230
2019-10-02,3.53,3.62,3.52,3.57,4618020
2019-10-03,3.55,3.62,3.5,3.62,3404420
2019-10-04,3.65,3.77,3.63,3.75,5678350
2019-10-07,3.75,3.77,3.67,3.7,2435940
2019-10-08,3.71,3.71,3.65,3.65,2212160
2019-10-09,3.67,3.75,3.65,3.67,3045950
2019-10-10,3.72,3.76,3.68,3.76,3151660
2019-10-11,3.77,3.85,3.77,3.78,3514760
2019-10-14,3.82,3.83,3.73,3.73,2442870
2019-10-15,3.72,3.73,3.65,3.65,3066700
2019-10-16,3.67,3.69,3.57,3.62,4856750
2019-10-17,3.61,3.67,3.61,3.66,1640190
2019-10-18,3.62,3.66,3.52,3.52,2689420
2019-10-21,3.5,3.52,3.41,3.43,3542480
2019-10-22,3.42,3.67,3.42,3.67,3577270
2019-10-23,3.72,3.78,3.6,3.6,4204650
2019-10-24,3.65,3.68,3.62,3.65,1949690
2019-10-25,3.68,3.71,3.65,3.67,3560030
2019-10-28,3.77,3.77,3.69,3.7,3962870
2019-10-29,3.72,3.72,3.62,3.62,2456120
2019-10-30,3.62,3.69,3.6,3.64,2439280
2019-10-31,3.68,3.84,3.65,3.65,6287100
2019-11-01,3.65,3.72,3.65,3.67,1495830
2019-11-04,3.71,3.71,3.62,3.63,2430910
2019-11-05,3.63,3.69,3.62,3.65,3321380
2019-11-06,3.65,3.81,3.65,3.75,5763520
2019-11-07,3.77,3.81,3.75,3.77,3471740
2019-11-08,3.8,3.81,3.76,3.76,2679040
2019-11-11,3.75,3.81,3.72,3.76,2388700
2019-11-12,3.76,4.02,3.75,4.02,10446090
2019-11-13,4.03,4.1,3.95,3.98,6092370
2019-11-14,3.97,4.12,3.95,4.0,5205680
2019-11-15,3.99,4.04,3.93,3.95,3920780
2019-11-18,3.98,4.03,3.97,4.03,3827850
2019-11-19,4.11,4.2,4.09,4.16,5997420
2019-11-20,4.16,4.18,4.11,4.13,3916560
2019-11-21,4.13,4.23,4.1,4.17,3845290
2019-11-22,4.19,4.2,3.88,3.88,10135850
2019-11-25,3.89,3.96,3.81,3.83,4728830
2019-11-26,3.88,3.91,3.85,3.87,3763440
2019-11-27,3.9,4.0,3.88,3.96,2658670
2019-11-28,3.98,4.0,3.85,3.89,3730190
2019-11-29,3.9,3.97,3.88,3.97,2584340
2019-12-02,4.01,4.08,3.97,4.0,3884610
2019-12-03,4.01,4.16,3.97,4.09,6365480
2019-12-04,4.12,4.17,4.07,4.13,3722300
2019-12-05,4.13,4.16,4.0,4.08,4632990
2019-12-06,4.08,4.14,4.06,4.1,3373940
2019-12-09,4.1,4.3,4.1,4.28,7881900
2019-12-10,4.3,4.32,4.23,4.28,4392540
2019-12-11,4.28,4.33,4.2,4.24,4069650
2019-12-12,4.24,4.32,4.23,4.32,3829550
2019-12-13,4.34,4.39,4.27,4.27,4033480
2019-12-16,4.27,4.31,4.25,4.29,2239330
2019-12-17,4.29,4.31,4.09,4.13,10940120
2019-12-18,4.12,4.16,4.1,4.12,2539540
2019-12-19,4.12,4.17,4.12,4.15,1620490
2019-12-20,4.16,4.28,4.16,4.26,2980680
2019-12-23,4.26,4.28,4.16,4.16,3001130
2019-12-24,4.18,4.22,4.16,4.16,1872230
2019-12-25,4.2,4.2,4.13,4.13,2104400
2019-12-26,4.13,4.18,4.03,4.03,3637320
2019-12-27,4.05,4.06,3.97,4.01,3572440
2019-12-30,4.01,4.13,4.0,4.06,1252960
2019-12-31,4.11,4.11,3.91,3.98,2737420
2020-01-02,3.96,4.18,3.95,4.18,3283180
2020-01-03,4.18,4.19,4.06,4.07,3031450
2020-01-06,4.08,4.16,4.02,4.09,4757100
2020-01-07,4.12,4.14,4.04,4.04,2309430
2020-01-08,4.0,4.06,3.95,4.01,3644680
2020-01-09,4.06,4.21,4.06,4.13,4819780
2020-01-10,4.16,4.21,4.13,4.13,3632380
2020-01-13,4.15,4.2,4.04,4.05,4266560
2020-01-14,4.05,4.14,4.0,4.13,3581580
2020-01-15,4.18,4.34,4.17,4.31,9107900
2020-01-16,4.34,4.39,4.31,4.35,4634950
2020-01-17,4.35,4.4,4.23,4.3,4436910
2020-01-20,4.28,4.29,4.19,4.23,5054860
2020-01-21,4.26,4.38,4.25,4.36,4006910
2020-01-22,4.37,4.64,4.34,4.58,8908570
2020-01-30,4.49,4.53,4.36,4.42,8308440
2020-01-31,4.42,4.45,4.16,4.16,8590820
2020-02-03,3.98,4.23,3.89,4.2,8875150
2020-02-04,4.2,4.23,4.04,4.06,5395320
2020-02-05,4.08,4.12,4.07,4.1,3039680
2020-02-06,4.12,4.24,4.09,4.21,4428100
2020-02-07,4.21,4.25,4.12,4.14,4292320
2020-02-10,4.08,4.17,4.04,4.09,3637020
2020-02-11,4.16,4.16,4.0,4.0,6924170
2020-02-12,4.0,4.09,4.0,4.02,5242530
2020-02-13,4.02,4.02,3.93,4.02,5252600
2020-02-14,4.02,4.11,4.0,4.11,3932620
2020-02-17,4.13,4.18,4.12,4.15,2950580
2020-02-18,4.15,4.2,4.12,4.15,4793030
2020-02-19,4.16,4.17,4.11,4.11,2427630
