time,open,high,low,close,volume
2018-09-06,24.97,25.05,24.64,25.05,93390
2018-09-07,24.56,25.09,24.56,25.05,58540
2018-09-10,24.89,25.05,24.64,24.76,118890
2018-09-11,24.68,24.97,24.48,24.97,63810
2018-09-12,24.97,25.05,24.85,25.05,207350
2018-09-13,25.05,25.13,24.89,25.09,42300
2018-09-14,25.09,25.09,24.72,25.09,28790
2018-09-17,24.89,24.97,24.52,24.97,59400
2018-09-18,24.97,24.97,24.36,24.89,46390
2018-09-19,24.56,24.97,24.56,24.85,53860
2018-09-20,24.64,24.85,24.48,24.85,49360
2018-09-21,24.85,24.85,23.13,23.13,2913560
2018-09-24,24.07,24.27,23.66,24.19,120760
2018-09-25,24.19,24.27,23.99,24.19,41780
2018-09-26,23.66,23.78,23.25,23.3,688210
2018-09-27,23.3,23.46,23.25,23.34,393140
2018-09-28,23.34,23.62,23.34,23.46,312120
2018-10-01,23.42,23.58,23.34,23.5,123500
2018-10-02,23.5,23.5,23.17,23.17,302700
2018-10-03,23.17,23.34,22.44,22.44,347880
2018-10-04,22.68,22.85,22.44,22.72,55850
2018-10-05,22.72,22.85,22.28,22.36,154650
2018-10-08,22.36,22.36,21.21,22.19,421430
2018-10-09,21.79,22.03,21.66,21.95,110120
2018-10-10,21.95,21.95,21.62,21.62,66070
2018-10-11,20.81,21.21,20.4,20.97,190910
2018-10-12,20.81,21.21,20.28,21.21,214000
2018-10-15,21.46,21.58,20.68,21.17,78150
2018-10-16,21.05,21.05,20.81,21.05,136720
2018-10-17,21.05,21.21,20.89,21.21,120800
2018-10-18,21.3,21.3,21.05,21.17,51780
2018-10-19,20.89,21.17,20.81,21.17,119710
2018-10-22,20.89,21.17,20.72,21.17,90130
2018-10-23,20.81,21.13,20.81,21.09,198690
2018-10-24,21.09,21.17,20.89,21.17,153000
2018-10-25,20.72,21.13,20.4,21.13,68670
2018-10-26,21.13,21.13,20.64,20.81,88020
2018-10-29,20.81,20.81,20.4,20.56,188630
2018-10-30,20.32,20.81,20.15,20.81,69200
2018-10-31,20.48,21.13,20.19,21.13,26780
2018-11-01,21.13,21.13,20.64,21.09,25020
2018-11-02,21.09,21.09,20.77,21.05,71100
2018-11-05,20.81,21.05,20.48,21.01,33990
2018-11-06,20.81,21.05,20.72,20.97,37210
2018-11-07,20.85,21.05,20.6,20.6,55360
2018-11-08,20.6,20.93,20.6,20.93,21980
2018-11-09,20.6,20.97,20.56,20.93,45760
2018-11-12,20.48,20.93,20.48,20.93,35320
2018-11-13,20.93,20.93,20.6,20.81,313980
2018-11-14,20.48,20.81,20.48,20.81,29680
2018-11-15,20.64,20.81,20.52,20.81,46020
2018-11-16,20.81,20.81,20.68,20.81,37540
2018-11-19,20.4,20.81,20.4,20.72,47970
2018-11-20,20.44,20.64,20.4,20.4,17810
2018-11-21,20.4,20.56,20.4,20.44,22860
2018-11-22,20.4,20.56,20.4,20.52,31670
2018-11-23,20.52,20.56,20.32,20.32,19930
2018-11-26,20.32,20.4,20.24,20.4,32440
2018-11-27,20.4,20.4,20.15,20.15,47310
2018-11-28,20.07,20.15,20.03,20.15,34600
2018-11-29,20.03,20.19,19.91,20.07,18840
2018-11-30,19.83,20.28,19.83,19.87,26210
2018-12-03,19.91,20.19,19.83,20.15,59040
2018-12-04,20.07,20.15,19.99,19.99,41680
2018-12-05,19.91,20.11,19.83,20.03,25590
2018-12-06,19.79,20.11,19.79,20.03,24540
2018-12-07,20.03,20.81,19.87,20.72,67670
2018-12-10,20.72,20.72,20.32,20.4,78100
2018-12-11,20.48,20.56,20.24,20.48,32240
2018-12-12,20.6,20.72,20.28,20.28,50220
2018-12-13,20.4,20.4,19.99,20.15,92490
