time,open,high,low,close,volume
2018-09-06,4.78,4.82,4.69,4.71,4313740
2018-09-07,4.71,4.8,4.7,4.8,3703440
2018-09-10,4.8,4.81,4.73,4.75,2735620
2018-09-11,4.75,4.83,4.74,4.83,3731660
2018-09-12,4.85,4.87,4.78,4.78,3318140
2018-09-13,4.81,4.85,4.78,4.79,3451510
2018-09-14,4.79,4.81,4.7,4.74,10570970
2018-09-17,4.72,4.74,4.62,4.64,8461690
2018-09-18,4.58,4.65,4.55,4.64,5675280
2018-09-19,4.64,4.73,4.64,4.7,5657510
2018-09-20,4.7,4.76,4.69,4.74,4036940
2018-09-21,4.76,4.84,4.73,4.82,8952940
2018-09-24,4.85,4.91,4.85,4.87,6826500
2018-09-25,4.87,4.89,4.81,4.81,5973420
2018-09-26,4.8,4.88,4.79,4.83,5566750
2018-09-27,4.85,4.85,4.81,4.83,4363390
2018-09-28,4.83,4.91,4.82,4.85,7395590
2018-10-01,4.85,4.91,4.82,4.85,5220190
2018-10-02,4.85,4.86,4.8,4.81,4892350
2018-10-03,4.82,4.85,4.81,4.85,3420120
2018-10-04,4.88,5.1,4.87,5.04,21454340
2018-10-05,5.04,5.09,4.97,4.97,7423070
2018-10-08,4.95,5.01,4.93,4.99,5122700
2018-10-09,4.99,5.0,4.84,4.84,12851160
2018-10-10,4.81,4.82,4.71,4.78,11204970
2018-10-11,4.62,4.66,4.46,4.46,10786560
2018-10-12,4.41,4.61,4.41,4.58,8482230
2018-10-15,4.6,4.6,4.47,4.47,4251170
2018-10-16,4.47,4.6,4.47,4.57,3525870
2018-10-17,4.62,4.64,4.52,4.54,7054300
2018-10-18,4.54,4.54,4.44,4.44,4181130
2018-10-19,4.37,4.48,4.34,4.41,4184120
2018-10-22,4.52,4.55,4.43,4.43,3925760
2018-10-23,4.43,4.53,4.38,4.49,7564000
2018-10-24,4.49,4.53,4.42,4.42,3211900
2018-10-25,4.28,4.42,4.27,4.41,5386150
2018-10-26,4.45,4.5,4.39,4.42,5230060
2018-10-29,4.41,4.47,4.4,4.46,3861530
2018-10-30,4.46,4.55,4.44,4.48,5457910
2018-10-31,4.55,4.6,4.51,4.6,5037930
2018-11-01,4.58,4.6,4.51,4.51,2787460
2018-11-02,4.55,4.65,4.52,4.58,4290860
2018-11-05,4.55,4.61,4.52,4.59,3077230
2018-11-06,4.62,4.62,4.51,4.51,3581010
2018-11-07,4.54,4.54,4.48,4.51,2783650
2018-11-08,4.58,4.58,4.49,4.49,2147700
2018-11-09,4.5,4.5,4.38,4.39,4471580
2018-11-12,4.3,4.4,4.3,4.37,1643350
2018-11-13,4.3,4.34,4.28,4.31,2827250
2018-11-14,4.31,4.34,4.22,4.25,3922210
2018-11-15,4.25,4.39,4.25,4.29,3299020
2018-11-16,4.34,4.48,4.34,4.46,5174300
2018-11-19,4.46,4.48,4.41,4.47,3227780
2018-11-20,4.42,4.45,4.39,4.43,3828300
2018-11-21,4.39,4.48,4.39,4.48,5091520
2018-11-22,4.47,4.49,4.44,4.45,4180020
2018-11-23,4.45,4.45,4.4,4.4,4104800
2018-11-26,4.4,4.4,4.37,4.37,2628870
2018-11-27,4.4,4.41,4.31,4.33,4043460
2018-11-28,4.34,4.38,4.32,4.38,2219320
2018-11-29,4.38,4.43,4.37,4.39,4283920
2018-11-30,4.37,4.61,4.37,4.52,19573090
2018-12-03,4.54,4.66,4.54,4.65,10288180
2018-12-04,4.64,4.66,4.6,4.62,7706990
2018-12-05,4.55,4.7,4.52,4.66,12889350
2018-12-06,4.66,4.74,4.63,4.72,16303360
2018-12-07,4.73,4.81,4.72,4.72,11401520
2018-12-10,4.68,4.71,4.61,4.64,7878260
2018-12-11,4.65,4.68,4.6,4.67,8853930
2018-12-12,4.67,4.73,4.67,4.72,6202910
2018-12-13,4.74,4.75,4.66,4.66,6756620
2018-12-14,4.64,4.65,4.55,4.58,8480850
2018-12-17,4.53,4.55,4.46,4.46,9396020
2018-12-18,4.39,4.47,4.38,4.47,8851800
2018-12-19,4.47,4.47,4.39,4.44,6094820
2018-12-20,4.42,4.46,4.39,4.4,3789140
2018-12-21,4.38,4.4,4.33,4.4,4783190
2018-12-24,4.39,4.42,4.29,4.29,4256860
2018-12-25,4.17,4.22,4.06,4.13,10259870
2018-12-26,4.15,4.18,4.11,4.11,2698340
2018-12-27,4.2,4.22,4.1,4.13,5295110
2018-12-28,4.18,4.18,4.08,4.08,5398870
2019-01-02,4.09,4.13,4.06,4.06,3645490
2019-01-03,4.07,4.07,3.88,3.88,8560650
2019-01-04,3.86,3.97,3.79,3.9,6057970
2019-01-07,3.99,4.04,3.97,3.98,4139200
2019-01-08,3.99,4.01,3.94,3.96,3172190
2019-01-09,3.99,4.08,3.98,4.06,5914110
2019-01-10,4.06,4.09,4.04,4.06,2885650
2019-01-11,4.06,4.08,4.02,4.04,3326770
2019-01-14,4.02,4.05,3.97,3.99,4754200
2019-01-15,3.99,4.12,3.99,4.09,5908240
2019-01-16,4.11,4.15,4.06,4.08,2505890
2019-01-17,4.08,4.2,4.08,4.15,6675580
2019-01-18,4.17,4.18,4.11,4.15,3041270
