time,open,high,low,close,volume
2018-09-06,29.78,30.01,29.78,29.98,10117
2018-09-07,29.98,30.05,29.98,29.98,6038
2018-09-10,29.98,29.98,29.95,29.95,18095
2018-09-11,29.78,29.95,29.78,29.95,8288
2018-09-12,29.78,29.95,29.78,29.95,6397
2018-09-13,29.78,29.98,29.78,29.98,1846
2018-09-14,29.95,29.95,29.95,29.95,7715
2018-09-17,29.44,29.78,29.44,29.78,686
2018-09-18,29.71,29.78,29.71,29.78,3890
2018-09-19,29.78,29.78,29.78,29.78,6124
2018-09-20,29.78,30.11,29.78,29.78,5899
2018-09-21,29.78,29.95,29.78,29.95,10763
2018-09-24,30.08,30.08,29.95,29.95,4775
2018-09-25,29.95,30.11,29.95,30.11,5904
2018-09-26,29.78,30.45,29.78,30.45,21475
2018-09-27,29.95,30.28,29.95,29.98,7510
2018-09-28,30.45,30.45,30.39,30.45,7658
2018-10-01,29.98,30.62,29.98,30.49,24363
2018-10-02,30.62,30.62,30.49,30.49,400
2018-10-03,30.45,30.62,30.45,30.62,5502
2018-10-04,30.62,30.62,30.45,30.49,21179
2018-10-05,30.52,30.62,30.45,30.45,8980
2018-10-08,30.45,30.45,29.44,30.45,7538
2018-10-09,30.22,30.22,30.22,30.22,113
2018-10-10,30.45,30.45,29.84,29.88,8285
2018-10-11,30.32,30.32,30.22,30.22,3569
2018-10-12,29.1,29.1,29.1,29.1,100
2018-10-15,29.1,29.44,29.1,29.1,7542
2018-10-16,29.13,29.13,29.1,29.13,2480
2018-10-17,29.2,29.2,29.13,29.13,1106
2018-10-18,29.4,29.4,29.4,29.4,599
2018-10-19,28.76,28.76,28.76,28.76,10000
2018-10-22,28.76,28.8,28.76,28.8,1175
2018-10-23,27.75,29.1,27.75,27.75,3123
2018-10-24,28.76,28.76,28.08,28.76,3182
2018-10-25,28.69,28.69,27.1,28.42,767
2018-10-26,28.36,28.59,28.12,28.22,2170
2018-10-29,28.08,28.39,28.08,28.08,1712
2018-10-30,28.12,29.1,28.12,29.1,18085
2018-10-31,25.38,29.44,25.38,28.59,4170
2018-11-01,28.42,28.76,28.42,28.42,4265
2018-11-02,28.76,28.76,28.76,28.76,136
2018-11-05,30.11,30.11,28.76,28.76,11326
2018-11-06,28.83,29.27,28.83,29.1,13610
2018-11-07,28.59,29.2,28.59,29.1,6286
2018-11-08,29.1,29.44,29.1,29.44,3061
2018-11-09,29.1,29.1,29.1,29.1,2076
2018-11-12,29.1,29.78,29.1,29.78,26607
2018-11-13,29.95,30.45,29.44,30.45,14807
2018-11-14,30.28,30.45,30.28,30.45,43849
2018-11-15,30.11,31.13,30.11,30.79,21230
2018-11-16,30.69,31.64,30.69,31.54,40426
2018-11-19,31.13,31.57,31.13,31.64,43767
2018-11-20,31.47,31.47,31.3,31.47,44475
2018-11-21,31.4,31.77,31.4,31.77,7645
2018-11-22,31.47,31.47,31.33,31.33,28806
2018-11-23,31.77,31.77,30.49,30.52,2912
2018-11-26,31.4,31.4,31.4,31.4,180
2018-11-27,30.18,31.13,30.18,31.13,5183
2018-11-28,30.79,30.93,30.79,30.93,4634
2018-11-29,30.89,31.64,30.62,31.64,30631
