time,open,high,low,close,volume
2020-12-23,5.69,5.69,5.36,5.37,30431340
2020-12-24,5.53,5.53,5.34,5.47,7683250
2020-12-25,5.47,5.85,5.47,5.85,9311200
2020-12-28,6.0,6.0,5.85,5.93,8600300
2020-12-29,5.96,6.0,5.85,6.0,9680050
2020-12-30,6.0,6.0,5.88,5.97,6435250
2020-12-31,5.94,5.97,5.86,5.94,8721150
2021-01-04,5.94,5.97,5.81,5.94,10019300
2021-01-05,5.94,5.94,5.83,5.94,6425700
2021-01-06,5.94,6.15,5.94,6.13,13781900
2021-01-07,6.13,6.32,6.1,6.32,10025000
2021-01-08,6.32,6.54,6.32,6.51,9146300
2021-01-11,6.51,6.56,6.48,6.54,8229200
2021-01-12,6.54,6.54,6.45,6.48,5232000
2021-01-13,6.43,6.43,6.24,6.29,6368000
2021-01-14,6.29,6.29,6.0,6.29,5747400
2021-01-15,6.29,6.34,6.21,6.34,6096800
2021-01-18,6.34,6.34,6.19,6.19,3836200
2021-01-19,6.21,6.23,5.77,5.85,2760800
2021-01-20,5.86,5.88,5.51,5.85,2122300
2021-01-21,5.86,5.88,5.77,5.85,5980900
2021-01-22,5.86,5.93,5.8,5.88,6146500
2021-01-25,5.88,5.88,5.78,5.81,2317700
2021-01-26,5.81,5.81,5.53,5.75,2076500
2021-01-27,5.66,5.67,5.37,5.5,2240000
2021-01-28,5.12,5.34,5.12,5.12,1906300
2021-01-29,4.77,5.37,4.77,5.34,3033900
2021-02-01,5.31,5.31,5.02,5.25,1864400
2021-02-02,5.06,5.31,5.06,5.23,1491900
2021-02-03,5.18,5.53,5.18,5.53,3625100
2021-02-04,5.53,5.53,5.4,5.47,1112200
2021-02-05,5.47,5.5,5.34,5.5,2465500
2021-02-08,5.47,5.48,5.29,5.37,1467300
2021-02-09,5.37,5.51,5.34,5.5,1715400
2021-02-17,5.51,5.69,5.5,5.69,2077100
2021-02-18,5.66,5.69,5.58,5.63,1880300
2021-02-19,5.59,5.85,5.55,5.85,4718300
2021-02-22,5.85,5.96,5.83,5.94,5623500
2021-02-23,5.94,6.0,5.83,6.0,5946800
2021-02-24,6.02,6.04,5.81,5.99,2317700
2021-02-25,5.97,5.97,5.83,5.91,1531300
2021-02-26,5.81,5.93,5.72,5.93,2349300
2021-03-01,5.93,5.99,5.89,5.99,3239900
2021-03-02,6.0,6.02,5.89,5.99,2391700
2021-03-03,5.99,6.38,5.89,6.38,5598100
2021-03-04,6.42,6.42,6.12,6.19,3571700
2021-03-05,6.21,6.26,6.08,6.26,1846600
2021-03-08,6.27,6.29,6.16,6.26,2667300
2021-03-09,6.19,6.26,6.16,6.26,2822800
2021-03-10,6.26,6.3,6.19,6.3,2986000
2021-03-11,6.32,6.64,6.29,6.64,8762500
2021-03-12,6.64,6.65,6.51,6.57,4610100
2021-03-15,6.62,6.79,6.59,6.79,11402000
2021-03-16,6.79,6.92,6.64,6.92,6608200
2021-03-17,6.89,7.14,6.86,7.02,11731200
2021-03-18,7.02,7.11,6.64,7.11,11309900
2021-03-19,7.05,7.09,6.89,7.09,6436100
2021-03-22,7.06,7.06,6.83,6.95,5063200
2021-03-23,6.92,6.92,6.72,6.79,6249400
2021-03-24,6.79,7.11,6.7,6.95,6169500
2021-03-25,6.92,6.95,6.78,6.87,5718400
2021-03-26,6.87,6.89,6.6,6.87,4614500
2021-03-29,6.83,6.86,6.73,6.84,6127400
2021-03-30,6.84,6.86,6.73,6.84,3757300
2021-03-31,6.84,6.97,6.73,6.91,6208800
2021-04-01,6.91,7.0,6.91,7.0,5410400
2021-04-02,7.05,7.14,6.89,7.14,8235700
2021-04-05,7.16,7.21,7.11,7.21,6408700
2021-04-06,7.21,7.22,7.13,7.19,6024100
2021-04-07,7.17,7.17,7.08,7.17,4460400
2021-04-08,7.17,7.19,6.95,6.97,4592700
2021-04-09,6.97,6.97,6.87,6.97,6552600
2021-04-12,6.98,7.36,6.91,7.36,10339600
2021-04-13,7.36,7.36,7.11,7.19,5651300
2021-04-14,7.14,7.24,7.05,7.24,4611600
2021-04-15,7.24,7.24,7.0,7.14,4711500
2021-04-16,7.03,7.13,6.86,7.0,4800500
2021-04-19,7.0,7.06,6.89,7.06,4472300
2021-04-20,7.19,7.27,6.94,7.08,8192700
2021-04-22,7.09,7.09,6.79,6.79,3962500
2021-04-23,6.67,6.95,6.64,6.92,3599100
2021-04-26,6.94,6.95,6.76,6.86,2819900
2021-04-27,6.79,6.87,6.72,6.72,6336300
2021-04-28,6.73,6.86,6.72,6.83,3178800
2021-04-29,6.84,6.87,6.75,6.86,3835500
2021-05-04,6.7,6.86,6.64,6.83,2921400
2021-05-05,6.86,7.05,6.86,7.05,16356000
2021-05-06,7.11,7.19,7.03,7.08,10988100
2021-05-07,7.08,7.09,6.95,7.02,4094300
2021-05-10,6.95,7.19,6.92,7.14,8456800
2021-05-11,7.17,7.38,7.17,7.25,13380100
2021-05-12,7.25,7.33,7.17,7.33,7042000
2021-05-13,7.3,7.39,7.21,7.35,10390700
2021-05-14,7.38,7.47,7.3,7.39,11371400
2021-05-17,7.43,7.47,7.22,7.33,7568400
2021-05-18,7.33,7.38,7.14,7.27,6124600
2021-05-19,7.27,7.36,7.22,7.35,8526600
2021-05-20,7.36,7.85,7.35,7.85,22779300
2021-05-21,7.85,8.06,7.82,7.88,10045500
2021-05-24,7.92,8.01,7.84,7.9,9504400
2021-05-25,7.84,7.9,7.79,7.87,10987400
2021-05-26,7.9,8.01,7.9,7.98,10557800
2021-05-27,8.0,8.37,8.0,8.12,11178900
2021-05-28,8.17,8.47,8.06,8.44,9092700
2021-05-31,8.45,8.69,8.28,8.67,11145300
2021-06-01,8.75,8.96,8.53,8.85,13815600
2021-06-02,8.67,8.85,8.53,8.75,9966900
2021-06-03,8.85,9.29,8.69,9.13,17838400
2021-06-04,9.13,9.73,8.93,9.61,14704200
2021-06-07,9.48,9.48,8.94,9.13,10186200
2021-06-08,8.94,9.16,8.5,8.5,9546900
2021-06-09,8.53,8.94,8.15,8.85,13619700
2021-06-10,8.85,8.94,8.53,8.56,4809300
2021-06-11,8.56,8.88,8.5,8.85,7618800
2021-06-14,8.85,8.88,8.69,8.82,7562400
2021-06-15,8.82,8.85,8.63,8.79,4771600
2021-06-16,8.79,8.8,8.53,8.63,5584100
2021-06-17,8.37,8.69,8.37,8.69,4754100
2021-06-18,8.72,8.83,8.66,8.83,6309400
2021-06-21,8.83,8.83,8.67,8.79,4210500
2021-06-22,8.85,9.07,8.77,8.98,11162500
2021-06-23,9.07,9.1,8.85,8.98,5455500
2021-06-24,9.01,9.02,8.79,8.96,3799500
2021-06-25,8.98,8.98,8.82,8.96,5347400
2021-06-28,9.1,9.58,9.04,9.58,26626300
2021-06-29,9.61,9.8,9.53,9.58,15280600
2021-06-30,9.65,9.67,9.45,9.54,8707900
2021-07-01,9.54,9.81,9.51,9.8,19224500
2021-07-02,9.84,9.99,9.78,9.84,10115300
2021-07-05,9.89,9.94,9.64,9.92,10529900
2021-07-06,9.97,10.08,9.24,9.24,16651200
2021-07-07,9.51,9.72,9.04,9.72,14672400
2021-07-08,9.77,9.8,9.39,9.51,8075400
2021-07-09,9.51,9.54,8.98,9.32,12047800
2021-07-12,9.29,9.29,8.67,8.85,13397100
2021-07-13,8.85,8.98,8.63,8.85,7645900
2021-07-14,8.85,8.88,8.5,8.75,7539400
2021-07-15,8.71,8.99,8.64,8.99,6092400
2021-07-16,8.99,9.16,8.82,9.12,19445200
2021-07-19,8.79,8.82,8.49,8.49,9009300
2021-07-20,8.49,8.85,8.28,8.85,15134100
2021-07-21,8.85,8.9,8.69,8.82,16353100
2021-07-22,8.82,8.98,8.66,8.85,9514700
2021-07-23,8.79,9.04,8.79,8.9,15238000
2021-07-26,8.77,8.9,8.69,8.88,4695500
2021-07-27,8.9,9.04,8.88,8.98,5421500
2021-07-28,8.98,8.99,8.85,8.98,3719600
2021-07-29,9.01,9.23,8.99,9.23,7240000
2021-07-30,9.23,9.4,9.23,9.37,10009300
2021-08-02,9.37,9.37,9.12,9.21,6342400
2021-08-03,9.21,9.23,9.02,9.23,7024600
2021-08-04,9.32,9.42,9.24,9.37,8324500
2021-08-05,9.37,9.43,9.28,9.42,5782000
2021-08-06,9.48,9.48,9.26,9.37,6125200
2021-08-09,9.31,9.42,9.2,9.42,8060300
2021-08-10,9.48,9.56,9.39,9.48,7059400
2021-08-11,9.48,9.97,9.43,9.8,16270000
2021-08-12,9.8,9.83,9.67,9.83,8479600
2021-08-13,9.8,9.8,9.43,9.69,6202000
2021-08-16,9.7,10.08,9.51,9.95,16130200
2021-08-17,10.05,10.08,9.81,9.92,9270800
2021-08-18,9.86,9.94,9.7,9.73,8741400
2021-08-19,9.7,9.73,9.43,9.51,9937300
2021-08-20,9.51,9.61,8.85,8.98,16878500
2021-08-23,8.98,8.98,8.53,8.53,9662000
2021-08-24,8.56,8.82,8.37,8.72,7471100
