time,open,high,low,close,volume
2018-09-06,7.49,7.56,7.46,7.53,2061300
2018-09-07,7.53,7.68,7.52,7.68,3928320
2018-09-10,7.63,7.7,7.62,7.63,2590800
2018-09-11,7.58,7.85,7.58,7.85,5786190
2018-09-12,7.91,7.92,7.73,7.73,4418180
2018-09-13,7.79,7.85,7.73,7.75,2672170
2018-09-14,7.75,7.9,7.75,7.82,3169020
2018-09-17,7.75,7.81,7.63,7.63,2156240
2018-09-18,7.56,7.8,7.51,7.8,3436290
2018-09-19,7.85,7.9,7.8,7.86,4606830
2018-09-20,7.85,7.99,7.84,7.95,4587420
2018-09-21,8.04,8.09,7.96,8.02,7085490
2018-09-24,8.1,8.13,8.03,8.08,3011110
2018-09-25,8.03,8.12,7.99,8.03,3284420
2018-09-26,8.02,8.14,8.02,8.04,2945320
2018-09-27,8.09,8.24,8.04,8.19,4349150
2018-09-28,8.21,8.24,8.16,8.16,3238680
2018-10-01,8.16,8.19,8.07,8.09,2718800
2018-10-02,8.05,8.15,8.03,8.05,2987970
2018-10-03,8.09,8.13,8.04,8.13,2595250
2018-10-04,8.22,8.37,8.17,8.37,3749870
2018-10-05,8.29,8.37,8.19,8.19,3497780
2018-10-08,8.14,8.25,8.08,8.18,2493570
2018-10-09,8.18,8.24,8.15,8.2,1334060
2018-10-10,8.22,8.24,8.04,8.19,2429860
2018-10-11,7.84,8.01,7.63,7.63,9927880
2018-10-12,7.56,7.81,7.4,7.78,4954220
2018-10-15,7.78,7.78,7.58,7.61,1845760
2018-10-16,7.64,7.66,7.54,7.63,2143320
2018-10-17,7.76,7.78,7.69,7.74,2565980
2018-10-18,7.66,7.74,7.61,7.64,2044470
2018-10-19,7.51,7.66,7.46,7.58,2307550
2018-10-22,7.66,7.71,7.54,7.54,2307270
2018-10-23,7.41,7.49,7.17,7.29,4487910
2018-10-24,7.29,7.37,7.11,7.11,4276680
2018-10-25,6.66,7.09,6.66,7.03,4115970
2018-10-26,7.12,7.16,6.92,6.92,2485300
2018-10-29,6.91,6.92,6.81,6.88,1971190
2018-10-30,6.91,7.07,6.82,6.91,1967410
2018-10-31,7.03,7.24,7.0,7.2,2418880
2018-11-01,7.22,7.24,7.02,7.03,2372190
2018-11-02,7.1,7.29,7.06,7.24,3357100
2018-11-05,7.14,7.31,7.11,7.26,1836910
2018-11-06,7.31,7.34,7.19,7.19,2015480
2018-11-07,7.19,7.22,7.05,7.16,1878310
2018-11-08,7.29,7.29,7.2,7.2,1772080
2018-11-09,7.16,7.19,6.98,6.98,1537960
2018-11-12,6.91,7.11,6.86,7.11,1881680
2018-11-13,6.91,7.07,6.91,7.0,1201380
2018-11-14,7.0,7.09,6.87,6.98,1152590
2018-11-15,6.98,7.01,6.87,6.93,1109230
2018-11-16,6.98,7.03,6.91,6.96,1419440
2018-11-19,7.01,7.16,7.01,7.16,2127510
2018-11-20,7.07,7.15,7.07,7.14,1348260
2018-11-21,7.03,7.26,7.01,7.26,1622010
2018-11-22,7.26,7.29,7.17,7.2,1187210
2018-11-23,7.2,7.2,7.01,7.01,1364180
2018-11-26,6.96,7.02,6.96,6.98,1112650
2018-11-27,7.02,7.09,6.98,7.02,1626230
2018-11-28,7.02,7.09,6.97,7.09,1561150
2018-11-29,7.16,7.22,7.1,7.11,2115370
2018-11-30,7.1,7.16,7.07,7.16,1080940
2018-12-03,7.31,7.45,7.29,7.45,3666920
2018-12-04,7.41,7.47,7.35,7.4,2144650
2018-12-05,7.31,7.44,7.29,7.41,2978510
2018-12-06,7.39,7.44,7.36,7.39,2552240
2018-12-07,7.41,7.51,7.41,7.45,2214580
2018-12-10,7.36,7.41,7.35,7.35,1061320
