time,open,high,low,close,volume
2018-09-06,25.39,25.56,25.23,25.27,796450
2018-09-07,25.18,26.06,25.18,25.98,1595530
2018-09-10,25.98,26.23,25.6,25.98,1505560
2018-09-11,25.77,26.44,25.77,26.4,1543540
2018-09-12,26.48,26.65,26.19,26.23,1590110
2018-09-13,26.32,26.57,26.23,26.36,1069800
2018-09-14,26.48,26.99,26.48,26.82,2405940
2018-09-17,26.82,26.82,26.36,26.36,1007490
2018-09-18,26.19,26.53,26.11,26.53,1077110
2018-09-19,26.69,26.69,26.44,26.53,1075000
2018-09-20,26.53,27.07,26.53,26.99,1709890
2018-09-21,27.24,27.53,26.82,27.07,4889170
2018-09-24,27.45,27.53,27.15,27.32,1094970
2018-09-25,27.15,27.32,26.99,26.99,1031520
2018-09-26,26.99,27.2,26.74,26.74,2099660
2018-09-27,26.74,26.9,26.48,26.57,2121040
2018-09-28,26.69,26.82,26.4,26.4,2104400
2018-10-01,26.61,26.61,26.19,26.19,1932610
2018-10-02,26.19,26.44,26.06,26.4,1601040
2018-10-03,26.57,26.61,26.19,26.4,1034920
2018-10-04,26.4,26.82,26.32,26.4,2298750
2018-10-05,26.53,26.74,26.36,26.36,1633520
2018-10-08,26.32,26.48,26.15,26.15,1347760
2018-10-09,26.23,26.4,26.15,26.19,868060
2018-10-10,26.27,26.32,26.06,26.19,781330
2018-10-11,25.47,25.47,24.41,24.49,3432840
2018-10-12,24.19,25.42,24.19,25.42,2266290
2018-10-15,25.38,25.47,24.91,25.08,1155630
2018-10-16,25.04,25.3,25.0,25.13,1079700
2018-10-17,25.42,25.42,25.08,25.13,1293490
2018-10-18,25.04,25.13,24.58,24.62,1605080
2018-10-19,24.19,24.87,24.19,24.49,1188910
2018-10-22,24.83,24.96,24.24,24.24,1204690
2018-10-23,24.19,24.32,22.92,23.68,2346810
2018-10-24,23.68,24.02,23.56,23.56,1474260
2018-10-25,22.5,23.43,22.5,23.26,1744120
2018-10-26,23.73,23.73,22.71,22.71,1220360
2018-10-29,22.62,22.88,22.28,22.45,1261730
2018-10-30,22.45,23.05,22.37,23.0,1337430
2018-10-31,23.0,24.07,23.0,23.6,1245750
2018-11-01,23.68,23.73,23.26,23.34,1221200
2018-11-02,23.34,23.9,23.34,23.85,1136910
2018-11-05,23.73,23.98,23.6,23.98,873020
2018-11-06,24.19,24.19,23.68,23.68,667710
2018-11-07,23.68,23.85,23.39,23.56,668290
2018-11-08,24.07,24.11,23.64,23.64,575720
2018-11-09,23.43,23.64,23.05,23.05,885690
2018-11-12,22.92,23.17,22.41,23.17,687980
2018-11-13,22.62,23.05,22.62,22.75,601520
